DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE
QUETIAPINA,QUETIVITAE,SOLIDO,GALENICUM HEALTH
QUETIAPINA,QUEPINA,SOLIDO,HUMAX
QUETIAPINA,QUTIPIN,SOLIDO,SUN PHARMACEUTICAL
QUETIAPINA,TIQUEPIN,SOLIDO,HETERO
QUETIAPINA,QUITIDE,SOLIDO,AUROBINDO
QUETIAPINA,QUETIAPINA,SOLIDO,WINTHROP
QUETIAPINA,QUETIREL,SOLIDO,SANDOZ
QUETIAPINA,NORSIC,SOLIDO,ANDROMACO
QUETIAPINA,QUETIAPINA,SOLIDO,SANOFI AVENTIS
QUETIAPINA,QUETISFREN,SOLIDO,BLASKOV
QUETIAPINA,QUETIAPINA,SOLIDO,AMERICAN GENERICS
QUETIAPINA,QUETIAPINA,SOLIDO,COLMED
QUETIAPINA,TIAMAX,SOLIDO,SCANDINAVIA PHARMA
RIVASTIGMINA,NEURACT,SOLIDO,PROCAPS
RIVASTIGMINA,PROMETAX,SOLIDO,NOVARTIS
RIVASTIGMINA,ASTIGMIN,SOLIDO,HUMAX
RIVASTIGMINA,RIVAMER,SOLIDO,SUN PHARMACEUTICAL
SOMATROPINA,GENOTROPIN,SOLIDO,PFIZER
SOMATROPINA,ZOMACTON,SOLIDO,FERRING
SOMATROPINA,SOMATOGEN,SOLIDO,BIO SIDUS
SOMATROPINA,OMNITROPE,LIQUIDO,SANDOZ
SOMATROPINA,NORDITROPIN NORDIFLEX,LIQUIDO,NOVO NORDISK
SOMATROPINA,NORDITROPIN,LIQUIDO,NOVO NORDISK
SOMATROPINA,SAIZEN,LIQUIDO,MERCK
SOMATROPINA,GROWTROPIN,LIQUIDO,DONG A
TIMOLOL,COSOPT,LIQUIDO,MUNDIPHARMA
TIMOLOL,DORZOLOL UD,LIQUIDO,TECNOFAR
TIMOLOL,BRIMODOR,LIQUIDO,PROCAPS
TIMOLOL,ELIPCTIC OFTENO,LIQUIDO,SOPHIA
TIMOLOL,OP QUAR,LIQUIDO,BIO ESTERIL
TIMOLOL,TIMOBRIN,LIQUIDO,SYNTHESIS
TIMOLOL,GLAUC OFF,LIQUIDO,BIO ESTERIL
TIMOLOL,GLAUC,LIQUIDO,BIO ESTERIL
TIMOLOL,GLAUC,LIQUIDO,BIOESTERIL
TIMOLOL,KRYTANTEK OFTENO,LIQUIDO,SOPHIA
TIMOLOL,LATANOPROST,LIQUIDO,FARMALUX
TIMOLOL,TRIPLIGAN,LIQUIDO,ALLERGAN
TIMOLOL,GLAUTIM,LIQUIDO,VISIONEX
TIMOLOL,BIMAPROS,LIQUIDO,TECNOQUIMICAS
TIMOLOL,ORZOLIX,LIQUIDO,GIMED
TIMOLOL,TRIALON,LIQUIDO,SYNTHESIS
TIMOLOL,BIOFOCUS,LIQUIDO,SYNTHESIS
TIMOLOL,OFTIDON T,LIQUIDO,SYNTHESIS
TIMOLOL,OFTIDON,LIQUIDO,SYNTHESIS
TIMOLOL,DORLAMIDA T,LIQUIDO,SYNTHESIS
TIMOLOL,ELIPTIC,LIQUIDO,SOPHIA
TIMOLOL,LATOF T,LIQUIDO,SAVAL
TIMOLOL,VISIONGAN,LIQUIDO,VITALIS
TIMOLOL,GLAUCODOR,LIQUIDO,I LAB
TIMOLOL,ALFABRIM,LIQUIDO,VITALIS
TIMOLOL,GANFORT UD,LIQUIDO,ALLERGAN
TIMOLOL,GANFORT,LIQUIDO,ALLERGAN
TIMOLOL,XEGREX,LIQUIDO,SCANDINAVIA PHARMA
TIMOLOL,DORMOL,LIQUIDO,XINETIX PHARMA
TIMOLOL,BRIMOLOL,LIQUIDO,TECNOQUIMICAS
TIMOLOL,TQ BRIMOFTA,LIQUIDO,TECNOQUIMICAS
TIMOLOL,AZARGA,LIQUIDO,NOVARTIS
TIMOLOL,DORPRETIM,LIQUIDO,BLASKOV
TIMOLOL,KRYTANTEK,LIQUIDO,SOPHIA
TIMOLOL,DORZOLAMIDA,LIQUIDO,LA SANTE
TIMOLOL,DORTIM,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS
TIMOLOL,DORZOLOL,LIQUIDO,TECNOQUIMICAS
TIMOLOL,DUOTRAV,LIQUIDO,NOVARTIS
TIMOLOL,DORZOPRES,LIQUIDO,BLUEPHARMA
TIMOLOL,COMBIGAN,LIQUIDO,ALLERGAN
TIMOLOL,DORZOPT,LIQUIDO,PROCAPS
TIMOLOL,GLAUCOTENSIL,LIQUIDO,SCANDINAVIA PHARMA
TIMOLOL,XALACOM,LIQUIDO,PFIZER
TIROFIBAN,INIPLAQ,LIQUIDO/SOLIDO,VITACOR PHARMA
TIROFIBAN,TIROFIBAN,LIQUIDO/SOLIDO,SICMAFARMA
TIROFIBAN,PLASMINASE,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC
TIROFIBAN,TIROFIBAN,LIQUIDO/SOLIDO,GENERICOS ESPANOLES
PRUCALOPRIDA,RESOLOR,SOLIDO,JANSSEN
AGALSIDASA,FABRAZYME,LIQUIDO/SOLIDO,GENZYME
CANAGLIFLOZINA,INVOKANA,SOLIDO,JANSSEN
ROMIPLOSTIM,NPLATE,LIQUIDO/SOLIDO,AMGEN
DARBEPOETINA,DARESP,LIQUIDO/SOLIDO,HETERO
RIOCIGUAT,PULLMOGUAT,SOLIDO,THE LABS
CINACALCET,CINALTIUS,SOLIDO,VESALIUS PHARMA
CINACALCET,CINECET,SOLIDO,STEIN
CINACALCET,CETCAL,SOLIDO,ALKEM
CINACALCET,SINACEPT,SOLIDO,HETERO
CINACALCET,TYROCET,SOLIDO,LEGRAND
CINACALCET,CINACRED,SOLIDO,DR REDDYS
CEFTAROLINA,ZINFORO,LIQUIDO/SOLIDO,PFIZER
RILPIVIRINA,EDURANT,SOLIDO,JANSSEN
ELVITEGRAVIR,STRIBILD,SOLIDO,GILEAD
PERTUZUMAB,PERJETA,LIQUIDO/SOLIDO,ROCHE
OBINUTUZUMAB,GAZYVA,LIQUIDO/SOLIDO,ROCHE
CRIZOTINIB,XALKORI,SOLIDO,PFIZER
IBRUTINIB,IMBRUVICA,SOLIDO,JANSSEN
IBRUTINIB,IMBRUVICA280,SOLIDO,JANSSEN
VISMODEGIB,ERIVEDGE,SOLIDO,ROCHE
CARFILZOMIB,XAFILRED,LIQUIDO/SOLIDO,DR REDDY
CARFILZOMIB,KYPROLIS,LIQUIDO/SOLIDO,AMGEN
ENZALUTAMIDA,ENZALUTAMIDA,SOLIDO,TECNOQUIMICAS
ENZALUTAMIDA,ALUDEL,SOLIDO,PROCAPS
ENZALUTAMIDA,XTANDI,SOLIDO,ASTELLAS
MIFAMURTIDA,MEPACT,LIQUIDO/SOLIDO,TAKEDA
BELIMUMAB,BENLYSTA,LIQUIDO/SOLIDO,GLAXOSMITHKLINE
GOLIMUMAB,SIMPONI,LIQUIDO/SOLIDO,JANSSEN
CANAKINUMAB,ILARIS,LIQUIDO/SOLIDO,NOVARTIS
PARECOXIB,DYNASTAT,LIQUIDO/SOLIDO,PFIZER
BENDAMUSTINA,GENSTINA,LIQUIDO/SOLIDO,GENBIE
BENDAMUSTINA,BENDAMUSTINA,LIQUIDO/SOLIDO,BLAU
BENDAMUSTINA,XEBINA,LIQUIDO/SOLIDO,LKM
BENDAMUSTINA,BENDAMUSTINA,LIQUIDO/SOLIDO,KEMEX
BENDAMUSTINA,RAMIZA,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA
BENDAMUSTINA,BENDAL,LIQUIDO/SOLIDO,AL PHARMA
BENDAMUSTINA,LEUKUSTIM,LIQUIDO/SOLIDO,XINETIX PHARMA
BENDAMUSTINA,BESUMID,LIQUIDO/SOLIDO,HETERO
BENDAMUSTINA,DEMUSTIN,LIQUIDO/SOLIDO,LEGRAND
BENDAMUSTINA,RIBOMUSTIN,LIQUIDO/SOLIDO,JANSSEN
ABIRATERONA,ARABITRO,SOLIDO,GLENMARK
ABIRATERONA,NEXTERONA,SOLIDO,NEXT PHARMA
ABIRATERONA,BIRANONA,SOLIDO,LEGRAND
ABIRATERONA,ABIRASUN,SOLIDO,SUN PHARMACEUTICAL
ABIRATERONA,TERONRED,SOLIDO,DR REDDYS
ABIRATERONA,ZYVALIX,SOLIDO,LKM
ABIRATERONA,ZYTIGA,SOLIDO,JANSSEN
TAPENTADOL,XOLTAP,SOLIDO,LAFRANCOL
METFORMINA,KOMBIGLYZE,SOLIDO,ASTRAZENECA
VILANTEROL,ANORO ELLIPTA,SOLIDO,GLAXOSMITHKLINE
MACITENTAN,MACITENTAN,SOLIDO,TECNOQUIMICAS
MACITENTAN,MACITENT,SOLIDO,MSN
VORTIOXETINA,KELAC,SOLIDO,LAFRANCOL
ULIPRISTAL,ACETATO DE ULIPRISTAL,SOLIDO,GEDEON RICHTER
ULIPRISTAL,ESMYA,SOLIDO,GEDEON RICHTER
APIXABAN,KEIXA,SOLIDO,XINETIX PHARMA
APIXABAN,ELIQUIS,SOLIDO,PFIZER
EPLERENONA,EPNONE,SOLIDO,MSN LABORATORIES PRIVATE
EPLERENONA,CARDIONONA,SOLIDO,LEGRAND
EPLERENONA,ACENOL,SOLIDO,SYNTHESIS
EPLERENONA,INSPRA,SOLIDO,PFIZER
COLISTIMETATO,OLIXATO,LIQUIDO/SOLIDO,XINETIX PHARMA
COLISTIMETATO,COLISTIMETATO DE SODIO,LIQUIDO/SOLIDO,ANTIBIOTICOS DE COLOMBIA
COLISTIMETATO,COLISTIMETATO,LIQUIDO/SOLIDO,AMAREY NOVAMEDICAL
COLISTIMETATO,COLIS,COLISTINA 346MG/1U,INYECTABLE/INHALATORIA X 10
COLISTIMETATO,COLIS,COLISTINA 346MG/1U,INYECTABLE/INHALATORIA X 1
COLISTIMETATO,COLISTIMETATO,LIQUIDO/SOLIDO,BIOSPIFAR
AZACITIDINA,ARGAXIT,LIQUIDO/SOLIDO,XINETIX
AZACITIDINA,NEXTIDINA,LIQUIDO/SOLIDO,NEXT PHARMA
AZACITIDINA,ICLACITIDINA,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA
AZACITIDINA,AZACITIDINA,LIQUIDO/SOLIDO,KEMEX
AZACITIDINA,REMITIVA,LIQUIDO/SOLIDO,LABORATORIO INTERNACIONAL ARGENTINO
AZACITIDINA,AZACYT,LIQUIDO/SOLIDO,INTAS
CABAZITAXEL,ZITAT,LIQUIDO/SOLIDO,LKM
CABAZITAXEL,CABAZRED,LIQUIDO/SOLIDO,DR REDDYS
CLADRIBINA,LITAK,LIQUIDO/SOLIDO,LIPOMED
DARIFENACINA,DARUCIL ER,SOLIDO,LEGRAND
ELTROMBOPAG,TROMBOLADE,SOLIDO,THE LABS
ELTROMBOPAG,BIEMPAG,SOLIDO,GENBIE
IRINOTECAN,ROTECAN,LIQUIDO/SOLIDO,HETERO
IRINOTECAN,IRINOSEVEN 40,LIQUIDO/SOLIDO,SEVEN PHARMA
IRINOTECAN,ITOXARIL,LIQUIDO/SOLIDO,LKM
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,ROPSOHN
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,UNIPHARM
IRINOTECAN,BLASTOVIN,LIQUIDO/SOLIDO,TUTEUR
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,VENUS
IRINOTECAN,IRINOCYT,LIQUIDO/SOLIDO,PINT PHARMA
IRINOTECAN,IRINKAN,LIQUIDO/SOLIDO,PISA
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,FRESENIUS
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,LIBRA
IRINOTECAN,CLORHIDRATO,LIQUIDO/SOLIDO,BLAU
MESALAZINA,MESILAX,SOLIDO,HUMAX
MESALAZINA,MESILAX,LIQUIDO,HUMAX
MESALAZINA,PENTASA,LIQUIDO,FERRING
MESALAZINA,MESAX,LIQUIDO,LABINCO
MESALAZINA,MESAZINA,SOLIDO,TAKEDA
MESALAZINA,MELIZINA,SOLIDO,FARMASER
MESALAZINA,MECOLZINE,SOLIDO,FAES FARMA
MESALAZINA,SULIMAX,SOLIDO,SCANDINAVIA PHARMA
MESALAZINA,MELAZ,SOLIDO,LAFRANCOL
MESALAZINA,MESALAZINA,SOLIDO,HUMAX
METOXIPOLIETILENGLICOL,MIRCERA,EPOETINA BETA 0075MG/03ML (025MG/1ML),INYECTABLE X 1
RANIBIZUMAB,LUCENTIS,LIQUIDO/SOLIDO,NOVARTIS
RASAGILINA,ZAGIL,SOLIDO,GENEPHARMA
RASAGILINA,RAZATEC05,SOLIDO,XINETIX
RASAGILINA,SONKINPAR,SOLIDO,ID PHARMA
RASAGILINA,RASANDAR,SOLIDO,ALTADIS
RASAGILINA,IMPRUVIA,SOLIDO,AXON
RASAGILINA,GIPAX,SOLIDO,BIOPAS
RASAGILINA,RAZATEC,SOLIDO,XINETIX PHARMA
TENOFOVIR,FENOVIRAL,SOLIDO,VANTAGE GLOBAL
TENOFOVIR,DUOPETSA,SOLIDO,THE LABS
TENOFOVIR,TENARTA EM,SOLIDO,MYLAN
TENOFOVIR,DIDIVIR,SOLIDO,CIPLA
TENOFOVIR,EMTRICITABINA,SOLIDO,SALUSPHARMA
TENOFOVIR,EMTRIFOVIR,SOLIDO,FARMATECH
TENOFOVIR,EMTRICITABINA,SOLIDO,CLINICOS Y HOSPITALARIOS
TENOFOVIR,FOVIREM,SOLIDO,HETERO
TENOFOVIR,TOLAK,SOLIDO,LEGRAND
TENOFOVIR,EMTRICITABINA,SOLIDO,AUROBINDO
TENOFOVIR,INMUNOVIR DUO,SOLIDO,MEDISPRAY
TENOFOVIR,TRUVADA,SOLIDO,GILEAD
EMTRICITABINA,COMPLERA,SOLIDO,GILEAD
PEMBROLIZUMAB,KEYTRUDA,LIQUIDO/SOLIDO,MERCK SHARP DOME
LAMOTRIGINA,LAMOLET,SOLIDO,EUROFARMA
LAMOTRIGINA,LAMEZ,SOLIDO,SUN PHARMACEUTICAL
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,TECNOQUIMICAS
LAMOTRIGINA,LATRIMED,SOLIDO,SANOFI AVENTIS
LAMOTRIGINA,LATRIMED,SOLIDO,WINTHROP
LAMOTRIGINA,LAFIGIN,SOLIDO,SYNTHESIS
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,HUMAX
LAMOTRIGINA,LAMOTRIGINA SANDOZ,SOLIDO,SANDOZ
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,SANDOZ
LAMOTRIGINA,FENEBRA,SOLIDO,PISA
LAMOTRIGINA,LAMETEC,SOLIDO,PINT PHARMA
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,PAULY
CLOPIDOGREL,TRIMEDAT,SOLIDO,MINTLAB
CLOPIDOGREL,VICAFIDT,SOLIDO,PISA
CLOPIDOGREL,PLATEMAX,SOLIDO,MSN LABORATORIES PRIVATE
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,LAPROFF
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,PENTACOOP
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,NTI NEW TRADE
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,LEGRAND
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,GENFAR
CLOPIDOGREL,TROMBOXTYL,SOLIDO,BIOQUIFAR
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,MEMPHIS
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,AMERICAN GENERICS
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,LA SANTE
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,TECNOQUIMICAS
CLOPIDOGREL,CLOPIDOGREL MK,SOLIDO,TECNOQUIMICAS
CLOPIDOGREL,ATEPLAX,SOLIDO,PROCAPS
CLOPIDOGREL,ATELIT,SOLIDO,LAFRANCOL
TOPIRAMATO,TOPIVITAE,SOLIDO,GALENICUM HEALTH
TOPIRAMATO,TOPICTAL,SOLIDO,MONTE VERDE
TOPIRAMATO,TOPIRAMATO SANDOZ,SOLIDO,SANDOZ
SUNITINIB,SUTENT,SOLIDO,PFIZER
ORLISTAT,XENICAL,SOLIDO,CHEPLAPHARM
ORLISTAT,SOGRAS R,SOLIDO,GIMED
ORLISTAT,ORLISHER,SOLIDO,HERSON
ORLISTAT,LINADEX,SOLIDO,BIOCHEM
ORLISTAT,FINOBES,SOLIDO,JOINPHARM
ORLISTAT,ANGIOSTAT,SOLIDO,COMERFAR
ORLISTAT,ORLIFAR,SOLIDO,PATMAR
ORLISTAT,LIPOGRAS,SOLIDO,NOVAMED
ORLISTAT,OBEDRIN,SOLIDO,BIOQUIMICO PHARMA
ORLISTAT,RISEMAX,SOLIDO,SCANDINAVIA PHARMA
ORLISTAT,ORLISTAT,SOLIDO,COASPHARMA
ORLISTAT,ORLISTAT,SOLIDO,PISA
ORLISTAT,SILENE,SOLIDO,GRUFARMA
ORLISTAT,GRAZILAN,SOLIDO,MATPRIFAR
ORLISTAT,TRIMFAT,SOLIDO,FARMA
ORLISTAT,YASTA,SOLIDO,PROCAPS
ORLISTAT,ORLISTAT,SOLIDO,ECAR
ORLISTAT,XEROGRAS,SOLIDO,GALENO QUIMICA
ORLISTAT,ORLISTAT,SOLIDO,LA SANTE
ORLISTAT,LIPPOX,SOLIDO,BUSSIE
ORLISTAT,ORLISTAT,SOLIDO,GENFAR
ORLISTAT,SIDELG,SOLIDO,GENFAR
ORLISTAT,DISGRASIL,SOLIDO,LAFRANCOL
ORLISTAT,ORLISTAT,SOLIDO,PROCAPS
CILOSTAZOL,CILOSVITAE,SOLIDO,GALENICUM HEALTH
CILOSTAZOL,ANGIOVAN,SOLIDO,MK
CILOSTAZOL,CIRVENZOL,SOLIDO,MATPRIFAR
IVABRADINE,IVABRADINA,SOLIDO,SICMAFARMA
IVABRADINE,IVABEAT,SOLIDO,CIPLA
IVABRADINE,IVABEAT,IVABRADINA 5MG/1U,ORAL X 28
IVABRADINE,IVABEAT,IVABRADINA 5MG/1U,ORAL X 14
VALSARTAN,VALSARTAN,SOLIDO,NOVARTIS
VALSARTAN,VALUTOL,SOLIDO,LABORATORIOS MINTLAB
VALSARTAN,SALVARA,SOLIDO,MERCK
VALSARTAN,RACORVAL,SOLIDO,SIEGFRIED
VALSARTAN,VALSARTAN,SOLIDO,HETERO
VALSARTAN,VALSARTAN,SOLIDO,SALUSPHARMA
VALSARTAN,CLEMBROXOL,SOLIDO,ALTADIS
VALSARTAN,VALSARVITAE,SOLIDO,GALENICUM HEALTH
VALSARTAN,BRASARTAN,SOLIDO,FARMA
VALSARTAN,VALSAD,SOLIDO,DUMIAN
VALSARTAN,VARTAZ,SOLIDO,EUROFARMA
VALSARTAN,CARDIK,SOLIDO,LEGRAND
VALSARTAN,CARDIOTAN,SOLIDO,HUMAX
VALSARTAN,DIOVAN,SOLIDO,NOVARTIS
VALSARTAN,VALSARTAN,SOLIDO,COASPHARMA
VALSARTAN,VALSARTAN,SOLIDO,GENFAR
VALSARTAN,VALSARTAN,SOLIDO,LA SANTE
VALSARTAN,VALSARTAN,SOLIDO,AMERICAN GENERICS
VALSARTAN,VALSARTAN,SOLIDO,HUMAX
VALSARTAN,VARCOR,SOLIDO,PROCAPS
VALSARTAN,VALSARTAN,SOLIDO,PROCAPS
VALSARTAN,VALSAPREX,SOLIDO,SCANDINAVIA PHARMA
VALSARTAN,VALTAN,SOLIDO,LAFRANCOL
VALSARTAN,VALSARTAN,SOLIDO,MK
CANDESARTAN,CANDESAM,SOLIDO,LAFRANCOL
CANDESARTAN,CANDESARTAN,SOLIDO,BLUEPHARMA
CANDESARTAN,EUROPRES,SOLIDO,SAVAL
CANDESARTAN,CANDESARTAN,SOLIDO,TECNOQUIMICAS
CANDESARTAN,CANDESARTAN,SOLIDO,AMERICAN GENERICS
CANDESARTAN,CANDESARTAN,SOLIDO,GENFAR
CANDESARTAN,CANDESARTAN,SOLIDO,LA SANTE
FENOFIBRATO,FENOLIP,SOLIDO,SCANDINAVIA PHARMA
FENOFIBRATO,NORTRICOL,SOLIDO,SIEGFRIED
FENOFIBRATO,FENOFIB,SOLIDO,MATPRIFAR
FENOFIBRATO,NORMOLIP,SOLIDO,SYNTHESIS
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,TECNOQUIMICAS
CIPROFIBRATO,FIBROLIP,SOLIDO,SCANDINAVIA PHARMA
CABERGOLINA,CABERGOLINA,SOLIDO,MK
CABERGOLINA,ERGOLIN,SOLIDO,BLUEPHARMA
CABERGOLINA,PROLASTAT,SOLIDO,SIEGFRIED
DUTASTERIDA,DUTASTERIDE,SOLIDO,CIPLA
DUTASTERIDA,DUTAZ,SOLIDO,LEGRAND
DUTASTERIDA,DUTASVITAE,SOLIDO,GALENICUM HEALTH
DUTASTERIDA,URTAL,SOLIDO,LAFRANCOL
DEFLAZACORT,CLOBAK,SOLIDO,INCOBRA
DEFLAZACORT,DEFLAZACORT,SOLIDO,INCOBRA
DEFLAZACORT,DEFLAZACORT,SOLIDO,LAPROFF
DEFLAZACORT,AVANTIUM,SOLIDO,NEVOX
DEFLAZACORT,DEFAL,SOLIDO,FAES FARMA
DEFLAZACORT,DEFLAZACORT,SOLIDO,AMERICAN GENERICS
DEFLAZACORT,LANDACORT,SOLIDO,LEGRAND
DEFLAZACORT,DEFLAZACORT,SOLIDO,GENFAR
DEFLAZACORT,CORTIDEXAN,SOLIDO,BIOQUIFAR
DEFLAZACORT,GARMISCH,SOLIDO,SCANDINAVIA PHARMA
DEFLAZACORT,GARMISCH DEFLAX,SOLIDO,SCANDINAVIA PHARMA
DEFLAZACORT,DEFLAZACORT,SOLIDO,TECNOQUIMICAS
DARUNAVIR,PREDARU,SOLIDO,LAFRANCOL
DARUNAVIR,DARUNAVIR,SOLIDO,CLINICOS Y HOSPITALARIOS
DARUNAVIR,DARUNAX,SOLIDO,LEGRAND
DARUNAVIR,DURART,SOLIDO,MYLAN
DARUNAVIR,DARIVIH,SOLIDO,HUMAX
DARUNAVIR,DARUVIR,SOLIDO,CIPLA
DARUNAVIR,PROTINAVIR,SOLIDO,VANTAGE GLOBAL
DARUNAVIR,FURTHAS,SOLIDO,THE LABS
DARUNAVIR,SARUX,SOLIDO,BALANCE
DARUNAVIR,PRENAVIR,SOLIDO,SALUSPHARMA
DARUNAVIR,DARUNAVIR,SOLIDO,SALUSPHARMA
DARUNAVIR,DARUHET,SOLIDO,HETERO
DARUNAVIR,PREZISTA,SOLIDO,JANSSEN
ENTECAVIR,KALVIR,SOLIDO,LEGRAND
ENTECAVIR,ENTEKLUD,SOLIDO,XINETIX PHARMA
ENTECAVIR,ENTEKLUD,SOLIDO,XINETIX
ENTECAVIR,TECABEN,SOLIDO,HETERO
ENTECAVIR,ZENTAIR,SOLIDO,CIPLA
ENTECAVIR,VORIX,SOLIDO,LAFRANCOL
ENTECAVIR,BARACLUDE,SOLIDO,BRISTOL MYERS SQUIBB
ETRAVIRINA,INTELENCE,SOLIDO,JANSSEN
ERLOTINIB,JUNET,SOLIDO,LEGRAND
ERLOTINIB,ERLOCIP,SOLIDO,CIPLA
ERLOTINIB,LOTINERCAN,SOLIDO,WILLOW
ERLOTINIB,TIRLEB,SOLIDO,LKM
ERLOTINIB,LOTINERCAN,SOLIDO,WILLOW PHARMA
ERLOTINIB,TARCEVA,SOLIDO,ROCHE
LETROZOL,LET25MG,SOLIDO,EUROFARMA
LETROZOL,LETROZOL,SOLIDO,NOVARTIS
LETROZOL,CREATINON,SOLIDO,ALTADIS
LETROZOL,LATOREN,SOLIDO,LEGRAND
LETROZOL,LETARA,SOLIDO,CIPLA
LETROZOL,LETMAM,SOLIDO,NOVAMED
LETROZOL,LETROLE,SOLIDO,HETERO
LETROZOL,HB ONCOBREAST,SOLIDO,HB HUMAN BIOSCIENCE
LETROZOL,LETRO SEVEN,SOLIDO,SEVEN PHARMA
LETROZOL,LETROZOL,SOLIDO,CALIER
LETROZOL,LETROZOL,SOLIDO,HEALTH NET
LETROZOL,FEMGARD,SOLIDO,PINT PHARMA
RISEDRONICO,RISEDRONATO,SOLIDO,AMERICAN GENERICS
RISEDRONICO,ACTONEL,SOLIDO,SANOFI AVENTIS
RISEDRONICO,RISEDRONATO,SOLIDO,MK
GABAPENTIN,GABAPENTINA,SOLIDO,NORMON
GABAPENTIN,GAFEN,SOLIDO,SIEGFRIED
GABAPENTIN,GABAPENTIN,SOLIDO,MK
GABAPENTIN,NEURONTIN600,SOLIDO,PFIZER
ARIPIPRAZOL,BISOZA,SOLIDO,LA SANTE
ARIPIPRAZOL,STROZOVEN,SOLIDO,HETERO
ARIPIPRAZOL,ARIVITAE,SOLIDO,GALENICUM
ARIPIPRAZOL,PRAZENTOL,SOLIDO,ALTADIS
ARIPIPRAZOL,ZOLAPRIL,SOLIDO,KERN PHARMA
ARIPIPRAZOL,IRAZEM,SOLIDO,SIEGFRIED
ARIPIPRAZOL,IPIPRAL,SOLIDO,HUMAX
ARIPIPRAZOL,ARIPRAZOL,SOLIDO,BUSSIE
ARIPIPRAZOL,ILIMIT ROEMMERS,SOLIDO,SCANDINAVIA PHARMA
TREPROSTINILO,REMODULIN,LIQUIDO,FERRER
MIRTAZAPINA,ZANIA,SOLIDO,BLUEPHARMA
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,SALUSPHARMA
MIRTAZAPINA,EPILFARMO,SOLIDO,ALTADIS
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,TECNOQUIMICAS
MIRTAZAPINA,MIRTAZAPINA HUMAX,SOLIDO,HUMAX
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,WINTHROP
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,SANDOZ
MIRTAZAPINA,TAZEPIN,SOLIDO,SCANDINAVIA PHARMA
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,PROCAPS
MIRTAZAPINA,MIRTAPAX,SOLIDO,MONTE VERDE
BUPROPION,BUPRION,SOLIDO,EUROFARMA
DULOXETINA,CLORHIDRATO,SOLIDO,MOMENTA
DULOXETINA,DULOXETINA,SOLIDO,COLMED
DULOXETINA,DEPULOX,SOLIDO,HETERO
DULOXETINA,NOVAFLEX,SOLIDO,LEGRAND
DULOXETINA,DU-TWO,SOLIDO,AUROBINDO
DULOXETINA,DULMAR,SOLIDO,GLOBAL MARKETING FARMACEUTICA
DULOXETINA,DUXETINA,SOLIDO,BUSSIE
DULOXETINA,DRUGTECH,SOLIDO,SYNTHESIS
DULOXETINA,DRUGTECH CIMAL,SOLIDO,SYNTHESIS
DULOXETINA,NITEXOL,SOLIDO,ANDROMACO
DULOXETINA,ALACIR,SOLIDO,SCANDINAVIA PHARMA
DONEPEZIL,ARIZIL,SOLIDO,SUN PHARMACEUTICAL
DONEPEZIL,PEZICEP,SOLIDO,PINT PHARMA
DONEPEZIL,DRUGTECH DAZOLIN,SOLIDO,SYNTHESIS
DONEPEZIL,LINDEZIP,SOLIDO,HETERO
DONEPEZIL,ALZHER,SOLIDO,SANICOL
DONEPEZIL,NEPECIL,SOLIDO,MATPRIFAR
DONEPEZIL,DONEPEZILO,SOLIDO,LA SANTE
DONEPEZIL,GLIX,SOLIDO,SCANDINAVIA PHARMA
DONEPEZIL,GLIX,SOLIDO,MEGALABS
DONEPEZIL,DONECIL,SOLIDO,ANDROMACO
DONEPEZIL,DRUGTECH,SOLIDO,SYNTHESIS
DONEPEZIL,PROCAPS,SOLIDO,PROCAPS
MONTELUKAST,SINGULAIR,SOLIDO,MERCK SHARP DOME
MONTELUKAST,PREVIASM,SOLIDO,EUROFARMA
MONTELUKAST,MONTESHER,SOLIDO,HERSON
MONTELUKAST,MONTELUKAST,SOLIDO,HETERO
