NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
CILOSTAZOL,GENERICO,SANDOZ FARMACEUTICA S.A,CILOSTAZOL,20.98,NO,NO
GLICLAZIDA,GENERICO,KRKA D.D. NOVO MESTO,GLICLAZIDA,5.59,SI,NO
AMOXICILINA/,GENERICO,STADA GENERICOS S.L,AMOXICILINA,6.81,NO,NO
MEMANTINA,GENERICO,TARBIS FARMA S.L.,MEMANTINA,144.2,NO,NO
RISPERIDONA,GENERICO,TARBIS FARMA S.L.,RISPERIDONA,13.71,NO,NO
DIPREX,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ESCITALOPRAM,9.37,NO,NO
ESSENTIAL,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ESCITALOPRAM,9.37,NO,NO
MYFENAX,GENERICO,TEVA PHARMA S.L.U,MICOFENOLATO,75.6,NO,NO
QUETIAPINA,GENERICO,KERN PHARMA S.L.,QUETIAPINA,16.2,NO,NO
DECENTAN,ORIGINAL,LABORATORIOS ERN S.A.,PERFENAZINA,3.59,NO,NO
PROLIA,ORIGINAL,AMGEN S.A.,DENOSUMAB,208.66,NO,NO
FOLICO,ORIGINAL,INTERPHARMA S.A.,FOLICO,8.27,NO,NO
AMCHAFIBRIN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,TRANEXAMICO,5.78,NO,NO
BETNOVATE,ORIGINAL,NUTRICION MEDICA S.L.,BETAMETASONA,2.76,NO,NO
BETNOVATE,ORIGINAL,NUTRICION MEDICA S.L.,BETAMETASONA,3.87,NO,NO
CETRAXAL,ORIGINAL,SALVAT S.A.,CIPROFLOXACINO,4.51,NO,NO
LUMINALETAS,ORIGINAL,KERN PHARMA S.L.,FENOBARBITAL,2.5,SI,NO
MANIDON,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,VERAPAMILO,3.12,NO,NO
SEIDIGESTAN,ORIGINAL,SEID S.A.,PROGESTERONA,5.81,SI,NO
PROGEFFIK,ORIGINAL,EFFIK S.A.,PROGESTERONA,5.81,SI,NO
FIBRAGUAR,ORIGINAL,FARDI S.A.,GOMA,9.1,SI,NO
FIBRAGUAR,ORIGINAL,FARDI S.A.,GOMA,16.53,SI,NO
ARTANE,ORIGINAL,TEOFARMA S.R.L,TRIHEXIFENIDIL,3.87,SI,NO
URALYT-URATO,ORIGINAL,MEDA PHARMA S.L,CITRATO,9.26,NO,NO
LANACORDIN,ORIGINAL,KERN PHARMA S.L.,DIGOXINA,3.9,SI,NO
PLENUR,ORIGINAL,FAES FARMA S.A.,LITIO,19.14,NO,NO
TIRODRIL,ORIGINAL,ESTEDI S.L.,TIAMAZOL,7.59,SI,NO
CERTICAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,EVEROLIMUS,151.03,NO,NO
CERTICAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,EVEROLIMUS,254.31,NO,NO
CERTICAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,EVEROLIMUS,362.79,NO,NO
CERTICAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,EVEROLIMUS,466.08,NO,NO
CERTICAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,EVEROLIMUS,62.01,NO,NO
MYAMBUTOL,ORIGINAL,TEOFARMA S.R.L,ETAMBUTOL,21.26,SI,NO
SERETIDE,ORIGINAL,GLAXOSMITHKLINE S.A.,SALMETEROL,41.28,NO,NO
BLOKIUM,ORIGINAL,ALMIRALL S.A.,ATENOLOL,4.93,SI,NO
ANASMA,ORIGINAL,GLAXOSMITHKLINE S.A.,FLUTICASONA,41.28,NO,NO
INALADUO,ORIGINAL,GLAXOSMITHKLINE S.A.,SALMETEROL,41.28,NO,NO
INALADUO,ORIGINAL,GLAXOSMITHKLINE S.A.,FLUTICASONA,41.28,NO,NO
ZYPREXA,ORIGINAL,SPALY BIOQUIMICA S.A.,OLANZAPINA,24.13,NO,NO
CITORSAL,ORIGINAL,LABORATORIOS ERN S.A.,POTASIO,4.62,NO,NO
CITORSAL,ORIGINAL,LABORATORIOS ERN S.A.,SODIO,6.43,NO,NO
TRILOMBRIN,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,PIRANTEL,5.0,NO,NO
TRICOLAM,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,TINIDAZOL,4.29,NO,NO
TRILOMBRIN,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,PIRANTEL,3.59,NO,NO
HIDROFEROL,ORIGINAL,FAES FARMA S.A.,CALCIFEDIOL,10.32,NO,NO
VIVOTIF,ORIGINAL,EMERGENT BIOSOLUTIONS SPAIN S.L.,SALMONELLA,17.97,NO,NO
FOSFOMICINA,ORIGINAL,LABORATORIOS ERN S.A.,FOSFOMICINA,7.46,NO,NO
FOSFOCINA,ORIGINAL,LABORATORIOS ERN S.A.,FOSFOMICINA,7.46,NO,NO
FOSFOCINA,ORIGINAL,LABORATORIOS ERN S.A.,FOSFOMICINA,5.74,NO,NO
METALGIAL,ORIGINAL,LABORATORIOS ERN S.A.,METAMIZOL,2.5,NO,NO
FUCITHALMIC,ORIGINAL,AMDIPHARM LIMITED,FUSIDICO,4.5,NO,NO
HIGROTONA,ORIGINAL,FERRER INTERNACIONAL S.A.,CLORTALIDONA,4.06,SI,NO
TWYNSTA,ORIGINAL,BOEHRINGER INGELHEIM ESPANA S.A.,AMLODIPINO,13.49,NO,NO
TWYNSTA,ORIGINAL,BOEHRINGER INGELHEIM ESPANA S.A.,TELMISARTANAMLODIPINO,12.68,NO,NO
URONEFREX,ORIGINAL,FERRER INTERNACIONAL S.A.,ACETOHIDROXAMICO,31.11,NO,NO
URONEFREX,ORIGINAL,FERRER INTERNACIONAL S.A.,ACETOHIDROXAMICO,59.29,NO,NO
SINEMET,ORIGINAL,ORGANON SALUD S.L.,CARBIDOPA,18.06,SI,NO
SINEMET,ORIGINAL,ORGANON SALUD S.L.,CARBIDOPA,9.18,SI,NO
FORMODUAL,ORIGINAL,CHIESI ESPANA S.A.U.,FORMOTEROL,45.99,NO,NO
NUVACTHEN,ORIGINAL,ALFASIGMA ESPANA S.L.,TETRACOSACTIDA,19.67,NO,NO
ONGLYZA,ORIGINAL,ASTRAZENECA FARMACEUTICA SPAIN S.A,SAXAGLIPTINA,52.02,NO,NO
FORXIGA,ORIGINAL,ASTRAZENECA FARMACEUTICA SPAIN S.A,DAPAGLIFLOZINA,46.02,NO,NO
KOMBOGLYZE,ORIGINAL,ASTRAZENECA FARMACEUTICA SPAIN S.A,METFORMINA,53.87,NO,NO
KOMBOGLYZE,ORIGINAL,ASTRAZENECA FARMACEUTICA SPAIN S.A,SAXAGLIPTINAMETFORMINA,53.87,NO,NO
LANTUS,ORIGINAL,SANOFI AVENTIS S.A,INSULINA,56.25,SI,NO
TERRAMICINA,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,OXITETRACICLINA,2.81,NO,NO
NEO-TOMIZOL,ORIGINAL,FERRER INTERNACIONAL S.A.,CARBIMAZOL,5.71,SI,NO
CUPRIPEN,ORIGINAL,RUBIO S.A.,PENICILAMINA,12.47,NO,NO
TERBASMIN,ORIGINAL,LABORATORIOS ERN S.A.,TERBUTALINA,3.61,SI,NO
TIAPRIZAL,ORIGINAL,NEURAXPHARM SPAIN S.L.U,TIAPRIDA,4.15,NO,NO
HYDRAPRES,ORIGINAL,RUBIO S.A.,HIDRALAZINA,4.43,SI,NO
HYDRAPRES,ORIGINAL,RUBIO S.A.,HIDRALAZINA,2.92,SI,NO
NEOMICINA,GENERICO,SALVAT S.A.,NEOMICINA,10.93,NO,NO
EFIENT,ORIGINAL,SUBSTIPHARM,PRASUGREL,16.7,NO,NO
EFIENT,ORIGINAL,SUBSTIPHARM,PRASUGREL,33.41,NO,NO
DOGMATIL,ORIGINAL,NEURAXPHARM SPAIN S.L.U,SULPIRIDA,6.18,NO,NO
SILVEDERMA,ORIGINAL,ALDO-UNION S.L.,SULFADIAZINA,10.54,NO,NO
SILVEDERMA,ORIGINAL,ALDO-UNION S.L.,SULFADIAZINA,7.31,NO,NO
SALAZOPYRINA,ORIGINAL,PFIZER S.L,SULFASALAZINA,5.06,SI,NO
POTASION,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,CLORURO,7.49,SI,NO
METASEDIN,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,METADONA,2.42,NO,NO
TRANXILIUM,ORIGINAL,SANOFI AVENTIS S.A,CLORAZEPATO,1.56,NO,NO
METASEDIN,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,METADONA,5.51,NO,NO
TRANXILIUM,ORIGINAL,NEURAXPHARM SPAIN S.L.U,CLORAZEPATO,1.25,NO,NO
KENTERA,ORIGINAL,GEBRO PHARMA S.A.,OXIBUTININA,40.59,NO,NO
SOMATULINA,ORIGINAL,IPSEN PHARMA S.A.,LANREOTIDA,558.39,NO,NO
ESMYA,ORIGINAL,GEDEON RICHTER IBERICA S.A,ULIPRISTAL,169.43,NO,NO
TOBRADEX,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,TOBRAMICINADEXAMETASONA,2.5,NO,NO
FYCOMPA,ORIGINAL,EISAI FARMACEUTICA S.A.,PERAMPANEL,30.1,NO,NO
FYCOMPA,ORIGINAL,EISAI FARMACEUTICA S.A.,PERAMPANEL,127.07,NO,NO
FYCOMPA,ORIGINAL,EISAI FARMACEUTICA S.A.,PERAMPANEL,133.75,NO,NO
FYCOMPA,ORIGINAL,EISAI FARMACEUTICA S.A.,PERAMPANEL,140.44,NO,NO
FYCOMPA,ORIGINAL,EISAI FARMACEUTICA S.A.,PERAMPANEL,145.77,NO,NO
FYCOMPA,ORIGINAL,EISAI FARMACEUTICA S.A.,PERAMPANEL,150.22,NO,NO
DUNA,ORIGINAL,MEIJI PHARMA SPAIN S.A.,PINAZEPAM,3.9,NO,NO
DUNA,ORIGINAL,MEIJI PHARMA SPAIN S.A.,PINAZEPAM,3.12,NO,NO
DUNA,ORIGINAL,MEIJI PHARMA SPAIN S.A.,PINAZEPAM,4.68,NO,NO
QUTENZA,ORIGINAL,GRUNENTHAL PHARMA S.A,CAPSAICINA,266.84,NO,NO
VENTODUO,ORIGINAL,ALDO-UNION S.L.,SALBUTAMOL,6.93,NO,NO
NIXYN,ORIGINAL,TEOFARMA S.R.L,ISONIXINO,6.15,NO,NO
XEPLION,ORIGINAL,JANSSEN CILAG S.A.,PALIPERIDONA,104.75,NO,NO
XEPLION,ORIGINAL,JANSSEN CILAG S.A.,PALIPERIDONA,152.41,NO,NO
XEPLION,ORIGINAL,JANSSEN CILAG S.A.,PALIPERIDONA,187.31,NO,NO
XEPLION,ORIGINAL,JANSSEN CILAG S.A.,PALIPERIDONA,262.29,NO,NO
HEMOVAS,ORIGINAL,FERRER INTERNACIONAL S.A.,PENTOXIFILINA,8.18,NO,NO
BOI-K,ORIGINAL,IONFARMA S.L,ASCORBICO,2.45,SI,NO
BOI-K,ORIGINAL,IONFARMA S.L,POTASIO,5.01,SI,NO
FURANTOINA,ORIGINAL,LABORATORIOS ERN S.A.,NITROFURANTOINA,3.61,NO,NO
FURANTOINA,ORIGINAL,LABORATORIOS ERN S.A.,NITROFURANTOINA,5.68,NO,NO
FURANTOINA,ORIGINAL,LABORATORIOS ERN S.A.,NITROFURANTOINA,4.89,NO,NO
LOMPER,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,MEBENDAZOL,4.4,NO,NO
SUERORAL,ORIGINAL,CASEN RECORDATI S.L..,CITRATO,3.87,NO,NO
SUERORAL,ORIGINAL,CASEN RECORDATI S.L..,SODIO,3.2,NO,NO
OTIX,ORIGINAL,M4 PHARMA S.L.,DEXAMETASONA,5.09,NO,NO
HAVRIX,ORIGINAL,GLAXOSMITHKLINE S.A.,ANTIGENO,22.64,NO,NO
HAVRIX,ORIGINAL,GLAXOSMITHKLINE S.A.,ANTIGENO,45.27,NO,NO
SOLINITRINA,ORIGINAL,KERN PHARMA S.L.,NITROGLICERINA,15.92,NO,NO
TERRACORTRIL,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,OXITETRACICLINA,3.98,NO,NO
DOLQUINE,ORIGINAL,RUBIO S.A.,HIDROXICLOROQUINA,12.16,NO,NO
ANTABUS,ORIGINAL,BOHM S.A.,DISULFIRAM,8.41,NO,NO
VIMPAT,ORIGINAL,UCB PHARMA S.A.,LACOSAMIDA,8.79,NO,NO
VIMPAT,ORIGINAL,UCB PHARMA S.A.,LACOSAMIDA,70.37,NO,NO
VIMPAT,ORIGINAL,UCB PHARMA S.A.,LACOSAMIDA,105.58,NO,NO
VIMPAT,ORIGINAL,UCB PHARMA S.A.,LACOSAMIDA,140.79,NO,NO
CLOTRIMAZOL,GENERICO,BAYER HISPANIA S.L,CLOTRIMAZOL,3.47,NO,NO
CLOTRIMAZOL,GENERICO,BAYER HISPANIA S.L,CLOTRIMAZOL,3.82,NO,NO
CLOTRIMAZOL,GENERICO,BAYER HISPANIA S.L,CLOTRIMAZOL,3.14,NO,NO
GLUCANTIME,ORIGINAL,SANOFI AVENTIS S.A,MEGLUMINA,15.99,NO,NO
A.A.S.,ORIGINAL,OPELLA HEALTHCARE SPAIN S.L.,ACETILSALICILICO,2.5,NO,NO
CLOTRIMAZOL,GENERICO,BAYER HISPANIA S.L,CLOTRIMAZOL,3.39,NO,NO
CALCIO-20,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,CALCIO,4.12,NO,NO
AMELUZ,ORIGINAL,BIOFRONTERA PHARMA GMBH SUCURSAL EN ESPANA,AMINOLEVULINICO,203.75,NO,NO
DUKORAL,ORIGINAL,SANOFI AVENTIS S.A,VIBRIO,49.39,NO,NO
DUODART,ORIGINAL,GLAXOSMITHKLINE S.A.,DUTASTERIDATAMSULOSINA,20.15,NO,NO
VESANOID,ORIGINAL,RUBIO S.A.,TRETINOINA,365.99,NO,NO
HUMATIN,ORIGINAL,PFIZER S.L,PAROMOMICINA,6.24,NO,NO
TESTEX,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,TESTOSTERONA,6.98,NO,NO
TESTEX,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,TESTOSTERONA,5.12,NO,NO
TESTEX,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,TESTOSTERONA,8.65,NO,NO
TERRAMICINA,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,OXITETRACICLINA,3.56,NO,NO
TRANDATE,ORIGINAL,KERN PHARMA S.L.,LABETALOL,4.68,SI,NO
TRANDATE,ORIGINAL,KERN PHARMA S.L.,LABETALOL,7.49,SI,NO
SULFADIAZINA,ORIGINAL,REIG JOFRE S.A.,SULFADIAZINA,10.58,NO,NO
BENORAL,ORIGINAL,REIG JOFRE S.A.,FENOXIMETILPENICILINA-BENZATINA,7.2,NO,NO
SULFATO,ORIGINAL,REIG JOFRE S.A.,ESTREPTOMICINA,9.76,SI,NO
AKINETON,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,BIPERIDENO,4.51,SI,NO
AKINETON,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,BIPERIDENO,2.95,SI,NO
AKINETON,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,BIPERIDENO,5.21,SI,NO
BENZETACIL,ORIGINAL,REIG JOFRE S.A.,BENCILPENICILINA-BENZATINA,5.09,NO,NO
BENZETACIL,ORIGINAL,REIG JOFRE S.A.,BENCILPENICILINA-BENZATINA,4.76,NO,NO
BENZETACIL,ORIGINAL,REIG JOFRE S.A.,BENCILPENICILINA-BENZATINA,4.46,NO,NO
BENZETACIL,ORIGINAL,REIG JOFRE S.A.,BENCILPENICILINA,3.72,NO,NO
FARMAPROINA,ORIGINAL,REIG JOFRE S.A.,BENCILPENICILINA,4.28,NO,NO
FARMAPROINA,ORIGINAL,REIG JOFRE S.A.,BENCILPENICILINA,4.61,NO,NO
ACALKA,ORIGINAL,FERRER INTERNACIONAL S.A.,CITRATO,25.01,SI,NO
VERSATIS,ORIGINAL,GRUNENTHAL PHARMA S.A,LIDOCAINA,116.91,NO,NO
VERSATIS,ORIGINAL,GRUNENTHAL PHARMA S.A,LIDOCAINA,77.94,NO,NO
RIVASTIGMINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,RIVASTIGMINA,33.19,NO,NO
RIVASTIGMINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,RIVASTIGMINA,66.38,NO,NO
RIVASTIGMINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,RIVASTIGMINA,137.08,NO,NO
CALCIPOTRIOL/BETAMETASONA,ORIGINAL,TEVA PHARMA S.L.U,CALCIPOTRIOLBETAMETASONA,44.69,NO,NO
CALCIPOTRIOL/BETAMETASONA,ORIGINAL,TEVA PHARMA S.L.U,BETAMETASONA,44.69,NO,NO
STRIVERDI,ORIGINAL,BOEHRINGER INGELHEIM ESPANA S.A.,OLODATEROL,41.68,NO,NO
CILOSTAZOL,GENERICO,TEVA PHARMA S.L.U,CILOSTAZOL,20.98,NO,NO
RAMIPRIL,GENERICO,ALTER S.A.,RAMIPRIL,2.5,SI,NO
DOLANTINA,ORIGINAL,KERN PHARMA S.L.,PETIDINA,8.34,NO,NO
CITICOLINA,GENERICO,TEVA PHARMA S.L.U,CITICOLINA,16.19,NO,NO
CITICOLINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,CITICOLINA,16.19,NO,NO
CITICOLINA,GENERICO,STADA S.L,CITICOLINA,16.19,NO,NO
CITICOLINA,GENERICO,AUROVITAS SPAIN S.A.U,CITICOLINA,16.19,NO,NO
TOLTERODINA,GENERICO,NORMON S.A.,TOLTERODINA,28.58,NO,NO
MOXIFLOXACINO,GENERICO,APOTEX ESPANA S.L,MOXIFLOXACINO,13.58,NO,NO
MOXIFLOXACINO,GENERICO,APOTEX ESPANA S.L,MOXIFLOXACINO,19.01,NO,NO
MEMANTINA,GENERICO,STADA GENERICOS S.L,MEMANTINA,129.26,NO,NO
LORNOXICAM,GENERICO,MEIJI PHARMA SPAIN S.A.,LORNOXICAM,6.78,NO,NO
TELMISARTAN/HIDROCLOROTIAZIDA,GENERICO,ACINO AG,TELMISARTANHIDROCLOROTIAZIDA,9.68,NO,NO
TELMISARTAN/HIDROCLOROTIAZIDA,GENERICO,ACINO AG,HIDROCLOROTIAZIDATELMISARTAN,19.36,NO,NO
RELVAR,ORIGINAL,GLAXOSMITHKLINE S.A.,FLUTICASONA,45.99,NO,NO
RALOXIFENO,GENERICO,AUROBINDO S.L.U,RALOXIFENO,20.64,NO,NO
ARTILOG,ORIGINAL,VIATRIS  HEALTHCARE S.L.,CELECOXIB,22.28,NO,NO
MEMANTINA,GENERICO,ARISTO PHARMA IBERIA S.L.,MEMANTINA,144.2,NO,NO
MEMANTINA,GENERICO,ARISTO PHARMA IBERIA S.L.,MEMANTINA,129.26,NO,NO
MEMANTINA,GENERICO,ARISTO PHARMA IBERIA S.L.,MEMANTINA,45.24,NO,NO
MEMANTINA,GENERICO,CINFA S.A.,MEMANTINA,129.26,NO,NO
MOXIFLOXACINO,GENERICO,SANDOZ FARMACEUTICA S.A,MOXIFLOXACINO,19.01,NO,NO
MEMANTINA,GENERICO,TOWA PHARMACEUTICAL S.A.,MEMANTINA,144.2,NO,NO
CINITAPRIDA,GENERICO,KERN PHARMA S.L.,CINITAPRIDA,6.73,NO,NO
DERCUTANE,ORIGINAL,IND. FTCA. CANTABRIA S.A.,ISOTRETINOINA,30.77,NO,NO
DERCUTANE,ORIGINAL,IND. FTCA. CANTABRIA S.A.,ISOTRETINOINA,51.28,NO,NO
TELMISARTAN,GENERICO,TOWA PHARMACEUTICAL S.A.,HIDROCLOROTIAZIDATELMISARTAN,19.36,NO,NO
TELMISARTAN,GENERICO,TOWA PHARMACEUTICAL S.A.,HIDROCLOROTIAZIDATELMISARTAN,9.68,NO,NO
TELMISARTAN,GENERICO,TOWA PHARMACEUTICAL S.A.,TELMISARTANHIDROCLOROTIAZIDA,19.36,NO,NO
CIQORIN,GENERICO,TEVA PHARMA S.L.U,CICLOSPORINA,52.45,NO,NO
CIQORIN,GENERICO,TEVA PHARMA S.L.U,CICLOSPORINA,13.11,NO,NO
CIQORIN,GENERICO,TEVA PHARMA S.L.U,CICLOSPORINA,26.23,NO,NO
SIBILLA,GENERICO,GEDEON RICHTER IBERICA S.A,DIENOGESTETINILESTRADIOL,4.71,NO,NO
SIBILLA,GENERICO,GEDEON RICHTER IBERICA S.A,ETINILESTRADIOLDIENOGEST,14.14,NO,NO
ABIMOX,ORIGINAL,TIEDRA FARMACEUTICA S.L,MOXIFLOXACINO,6.87,NO,NO
CANDESARTAN/HIDROCLOROTIAZIDA,GENERICO,AUROVITAS SPAIN S.A.U,HIDROCLOROTIAZIDACANDESARTAN,20.92,NO,NO
CANDESARTAN/HIDROCLOROTIAZIDA,GENERICO,AUROVITAS SPAIN S.A.U,CANDESARTAN,20.92,NO,NO
MEMANTINA,GENERICO,STADA S.L,MEMANTINA,45.24,NO,NO
TRAMADOL/PARACETAMOL,GENERICO,ALTER S.A.,TRAMADOL,2.97,NO,NO
WIBICAL150,GENERICO,GP-PHARMS.A,BICALUTAMIDA,127.09,NO,NO
MEMANTINA,GENERICO,COMBIX S.L.U,MEMANTINA,144.2,NO,NO
VIRIREC,ORIGINAL,CASEN RECORDATI S.L..,ALPROSTADIL,46.83,NO,NO
MEMANTINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,MEMANTINA,129.26,NO,NO
BLOKIUM,ORIGINAL,ALMIRALL S.A.,ATENOLOL,2.5,SI,NO
CELECOXIB,GENERICO,ZENTIVA KS,CELECOXIB,22.28,NO,NO
ITRAGERM,ORIGINAL,ISDIN S.A.,ITRACONAZOL,6.49,NO,NO
SUBOXONE,ORIGINAL,INDIVIOR EUROPE LIMITED,NALOXONABUPRENORFINA,59.95,NO,NO
MOXIFLOXACINO,GENERICO,AUROVITAS SPAIN S.A.U,MOXIFLOXACINO,13.58,NO,NO
INCRESYNC,ORIGINAL,MENARINIS.A.,PIOGLITAZONAALOGLIPTINA,24.48,NO,NO
INCRESYNC,ORIGINAL,MENARINIS.A.,PIOGLITAZONAALOGLIPTINA,48.96,NO,NO
VIPIDIA,ORIGINAL,MENARINIS.A.,ALOGLIPTINA,11.19,NO,NO
VIPIDIA,ORIGINAL,MENARINIS.A.,ALOGLIPTINA,22.39,NO,NO
VIPIDIA,ORIGINAL,MENARINIS.A.,ALOGLIPTINA,44.76,NO,NO
VIPDOMET,ORIGINAL,MENARINIS.A.,ALOGLIPTINAMETFORMINA,48.96,NO,NO
VIPDOMET,ORIGINAL,MENARINIS.A.,METFORMINA,97.91,NO,NO
MEMANTINA,GENERICO,UXAFARMA S.A.,MEMANTINA,144.2,NO,NO
DELTIUS,ORIGINAL,ITALFARMACO S.A.,COLECALCIFEROL,3.9,NO,NO
DELTIUS,ORIGINAL,ITALFARMACO S.A.,COLECALCIFEROL,15.61,NO,NO
ESCITALOPRAM,GENERICO,AUROBINDO S.L.U,ESCITALOPRAM,8.74,NO,NO
ESCITALOPRAM,GENERICO,AUROBINDO S.L.U,ESCITALOPRAM,17.48,NO,NO
ESCITALOPRAM,GENERICO,AUROBINDO S.L.U,ESCITALOPRAM,13.11,NO,NO
ESCITALOPRAM,GENERICO,AUROBINDO S.L.U,ESCITALOPRAM,26.23,NO,NO
ESCITALOPRAM,GENERICO,AUROBINDO S.L.U,ESCITALOPRAM,34.97,NO,NO
ESCITALOPRAM,GENERICO,FRANCISCO DURBAN S.A.,ESCITALOPRAM,17.48,NO,NO
ESCITALOPRAM,GENERICO,FRANCISCO DURBAN S.A.,ESCITALOPRAM,34.97,NO,NO
ESCITALOPRAM,GENERICO,FRANCISCO DURBAN S.A.,ESCITALOPRAM,8.74,NO,NO
ALMOTRIPTAN,GENERICO,STADA S.L,ALMOTRIPTAN,19.53,NO,NO
ALMOTRIPTAN,GENERICO,STADA S.L,ALMOTRIPTAN,29.3,NO,NO
DOSTAB,ORIGINAL,SALVAT S.A.,LANSOPRAZOL,7.96,NO,NO
DOSTAB,ORIGINAL,SALVAT S.A.,LANSOPRAZOL,15.92,NO,NO
MALAWAY,GENERICO,VISO FARMACEUTICA S.L.,PROGUANIL,19.84,NO,NO
IMUNOCARE,ORIGINAL,IND. FTCA. CANTABRIA S.A.,IMIQUIMOD,37.78,NO,NO
IMUNOCARE,ORIGINAL,IND. FTCA. CANTABRIA S.A.,IMIQUIMOD,75.56,NO,NO
MEMANTINA,GENERICO,SUN PHARMA LABORATORIOS S.L,MEMANTINA,144.2,NO,NO
RAMIPRIL,GENERICO,STADA S.L,RAMIPRIL,9.68,SI,NO
RAMIPRIL,GENERICO,STADA S.L,RAMIPRIL,4.84,SI,NO
RIVASTIGMINA,GENERICO,ARISTO PHARMA IBERIA S.L.,RIVASTIGMINA,33.19,NO,NO
RIVASTIGMINA,GENERICO,ARISTO PHARMA IBERIA S.L.,RIVASTIGMINA,66.38,NO,NO
RIVASTIGMINA,GENERICO,ARISTO PHARMA IBERIA S.L.,RIVASTIGMINA,137.08,NO,NO
SERC,ORIGINAL,NEURAXPHARM SPAIN S.L.U,BETAHISTINA,8.18,NO,NO
LATANOPROST/TIMOLOL,ORIGINAL,CIPLA EUROPE NV SUCURSAL EN ESPANA,LATANOPROSTTIMOLOL,7.84,NO,NO
GLICLAZIDA,GENERICO,CINFA S.A.,GLICLAZIDA,5.59,SI,NO
MOXIFLOXACINO,GENERICO,AUROVITAS SPAIN S.A.U,MOXIFLOXACINO,19.01,NO,NO
GALANTAMINA,GENERICO,NORMON S.A.,GALANTAMINA,23.12,NO,NO
GALANTAMINA,GENERICO,NORMON S.A.,GALANTAMINA,46.24,NO,NO
GALANTAMINA,GENERICO,NORMON S.A.,GALANTAMINA,69.36,NO,NO
TIBOCINA,GENERICO,SANDOZ FARMACEUTICA S.A,TIBOLONA,11.3,SI,NO
XIGDUO,ORIGINAL,ASTRAZENECA FARMACEUTICA SPAIN S.A,METFORMINA,49.83,NO,NO
ASACOL,ORIGINAL,TILLOTTS PHARMA SPAIN S.L.U.,MESALAZINA,53.05,SI,NO
PERINDOPRIL/INDAPAMIDA,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,INDAPAMIDAPERINDOPRIL,35.28,NO,NO
MEDIKINET,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,METILFENIDATO,32.6,NO,NO
MEDIKINET,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,METILFENIDATO,39.11,NO,NO
TIBOLONA,GENERICO,ARISTO PHARMA IBERIA S.L.,TIBOLONA,11.3,SI,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,COMBIX S.L.U,HIDROCLOROTIAZIDAVALSARTAN,5.99,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,COMBIX S.L.U,VALSARTANHIDROCLOROTIAZIDA,11.99,NO,NO
MEMANTINA,GENERICO,NEURAXPHARM SPAIN S.L.U,MEMANTINA,144.2,NO,NO
CLINDAMICINA,GENERICO,NORMON S.A.,CLINDAMICINA,2.09,NO,NO
LOSARTAN,GENERICO,TEVA PHARMA S.L.U,LOSARTAN,1.97,NO,NO
LOSARTAN,ORIGINAL,TEVA PHARMA S.L.U,LOSARTAN,2.5,SI,NO
