Nombre del producto farmacéutico,Tipo de fármaco,Nombre del laboratorio ofertante,Estado,Aportación del beneficiario,Principio activo o asociación de principios activos,Precio venta con IVA_Euros,Nombre de la agrupación homogénea del producto sanitario,Diagnóstico hospitalario,Tratamiento de larga duración,Especial control médico,Medicamento huérfano
"RILAST 160 MICROGRAMOS/4,5 MICROGRAMOS/INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION, 1 inhalador de 120 dosis",Medicamento Etica,"TAU, S.A.",BAJA GENERAL,ESPECIAL,"FORMOTEROL FUMARATO DIHIDRATO,BUDESONIDA",46.25,,NO,NO,NO,NO
"AMLODIPINO/VALSARTAN TEVA 5 MG / 160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA GENERAL,NORMAL,"AMLODIPINO BESILATO,VALSARTAN",13.27,VALSARTAN / AMLODIPINO 160MG/5MG 28 COMPRIMIDOS,NO,NO,NO,NO
"AMLODIPINO/VALSARTAN TEVA 10 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA GENERAL,NORMAL,"AMLODIPINO BESILATO,VALSARTAN",13.27,VALSARTAN / AMLODIPINO 160MG/10MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA RATIO 20 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",10.1,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA RATIO 20 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",10.1,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA RATIO 40 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",20.18,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA RATIO 40 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",20.18,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
ALDOCUMAR 10MG 40 COMPRIMIDOS,Medicamento Etica,"ALDO-UNION, S.L.",ALTA,ESPECIAL,WARFARINA SODICA,8.46,,NO,SI,NO,NO
SALMETEROL/FLUTICASONA CIPLA 25 MICROGRAMOS/125 MICROGRAMOS/INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION 1 inhalador de 120 dosis,Medicamento Etica,CIPLA EUROPE NV SUCURSAL EN ESPAÑA,ALTA,ESPECIAL,"SALMETEROL XINAFOATO,FLUTICASONA PROPIONATO",41.28,,NO,NO,NO,NO
SALMETEROL/FLUTICASONA CIPLA 25 MICROGRAMOS/250 MICOGRAMOS/INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION 1 inhalador de 120 dosis,Medicamento Etica,CIPLA EUROPE NV SUCURSAL EN ESPAÑA,ALTA,ESPECIAL,"FLUTICASONA PROPIONATO,SALMETEROL XINAFOATO",41.28,,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA MABO 20 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",10.1,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
OLMESARTAN/HIDROCLOROTIAZIDA MABO 20 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos,Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",10.1,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA MABO 40 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",20.18,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
OLMESARTAN/HIDROCLOROTIAZIDA MABO 40 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos,Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",20.18,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CELECOXIB AUROBINDO 200 MG CAPSULAS DURAS EFG, 30 capsulas",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,NORMAL,CELECOXIB,22.28,CELECOXIB 200 MG 30 CAPSULAS,NO,NO,NO,NO
"ROSUVASTATINA AUROVITAS 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,NORMAL,ROSUVASTATINA  CALCICA,4.93,ROSUVASTATINA 5 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"ROSUVASTATINA AUROVITAS 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,NORMAL,ROSUVASTATINA  CALCICA,9.85,ROSUVASTATINA 10 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"ROSUVASTATINA AUROVITAS 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,NORMAL,ROSUVASTATINA  CALCICA,19.72,ROSUVASTATINA 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"OMEPRAZOL  KERN PHARMA 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG,28 capsulas",Medicamento Generico,"KERN PHARMA, S.L.",ALTA,NORMAL,OMEPRAZOL,2.42,OMEPRAZOL 20 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"DUTASTERIDA CHEMO IBERICA 0,5 MG CAPSULAS BLANDAS EFG 30 capsulas",Medicamento Generico,"AMNEAL PHARMA SPAIN, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,DUTASTERIDA,20.11,"DUTASTERIDA 0,5 MG 30 CAPSULAS",NO,NO,NO,NO
ATENOLOL ALTER 50MG 60 COMPRIMIDOS EFG,Medicamento Generico,ALTER S.A.,ALTA,ESPECIAL,ATENOLOL,2.5,ATENOLOL 50 MG 60 COMPRIMIDOS,NO,NO,NO,NO
AMOXICILINA/ACIDO CLAVULANICO ALMUS 500 MG/125 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 30 comprimidos,Medicamento Generico,"ALMUS FARMACEUTICA, S.A.U.",ALTA,NORMAL,"AMOXICILINA,CLAVULANICO ACIDO",5.84,AMOXICILINA/ AC CLAVULANICO 500MG/125MG 30 COMPRIMIDOS,NO,NO,NO,NO
AMOXICILINA/ACIDO CLAVULANICO ALMUS 875 MG/125 MG COMPRIMIDOS RECUBIERTOS CON PELICUL EFG 30 comprimidos,Medicamento Generico,"ALMUS FARMACEUTICA, S.A.U.",ALTA,NORMAL,"CLAVULANICO ACIDO,AMOXICILINA",10.21,AMOXICILINA/ AC CLAVULANICO 875MG/125MG 30 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN VIR 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,OLMESARTAN MEDOXOMILO,5.04,OLMESARTAN MEDOXOMILO  10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN VIR 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,OLMESARTAN MEDOXOMILO,20.17,OLMESARTAN MEDOXOMILO  40 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN VIR 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,OLMESARTAN MEDOXOMILO,10.08,OLMESARTAN MEDOXOMILO  20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OMEPRAZOL NORMON 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG,56 capsulas",Medicamento Generico,NORMON S.A.,ALTA,NORMAL,OMEPRAZOL,4.15,OMEPRAZOL 20 MG 56 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"OXICODONA/NALOXONA CINFA 5 MG/2,5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,"NALOXONA HIDROCLORURO,OXICODONA HIDROCLORURO",12.69,"OXICODONA/NALOXONA 5MG/2,5MG 56 COMPRIMIDOS LIBERACION MODIFICADA",NO,NO,NO,NO
"OXICODONA/NALOXONA CINFA 10 MG/5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,"NALOXONA HIDROCLORURO,OXICODONA HIDROCLORURO",25.38,OXICODONA/NALOXONA 10MG/5MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
"OXICODONA/NALOXONA CINFA 20 MG/10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,"NALOXONA HIDROCLORURO,OXICODONA HIDROCLORURO",50.77,OXICODONA/NALOXONA 20MG/10MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
"OXICODONA/NALOXONA CINFA 40 MG/20 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,"NALOXONA HIDROCLORURO,OXICODONA HIDROCLORURO",101.53,OXICODONA/NALOXONA 40MG/20MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
ACARIZAX 12 SQ-HDM LIOFILIZADO SUBLINGUAL. 30 liofilizados sublinguales,Medicamento Etica,"ALK-ABELLO, S.A.",ALTA,NORMAL,"EXTRACTO ALERGENICO DE DERMATOPHAGOIDES FARINAE,EXTRACTO ALERGENICO DE DERMATOPHAGOIDES PTERONYSSINUS",106.84,,NO,NO,NO,NO
ACARIZAX 12 SQ-HDM LIOFILIZADO SUBLINGUAL. 90 liofilizados sublinguales,Medicamento Etica,"ALK-ABELLO, S.A.",ALTA,NORMAL,"EXTRACTO ALERGENICO DE DERMATOPHAGOIDES PTERONYSSINUS,EXTRACTO ALERGENICO DE DERMATOPHAGOIDES FARINAE",266.35,,NO,NO,NO,NO
ACIDO ACETILSALICILICO TARBIS 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG 30 comprimidos,Medicamento Generico,"TARBIS FARMA, S.L.",ALTA,NORMAL,ACETILSALICILICO ACIDO,1.45,ACIDO ACETILSALICILICO 100 MG 30 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,SI,NO,NO
ACIDO ACETILSALICILICO LIDERFEN 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG 30 comprimidos,Medicamento Generico,FARMALIDER S.A.,ALTA,NORMAL,ACETILSALICILICO ACIDO,1.45,ACIDO ACETILSALICILICO 100 MG 30 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,SI,NO,NO
ACIDO ACETILSALICILICO ALTER 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG 30 comprimidos,Medicamento Generico,ALTER S.A.,ALTA,NORMAL,ACETILSALICILICO ACIDO,1.45,ACIDO ACETILSALICILICO 100 MG 30 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,SI,NO,NO
"ETORICOXIB STADA 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,ETORICOXIB,5.37,ETORICOXIB 30 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ETORICOXIB STADA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,ETORICOXIB,10.74,ETORICOXIB 60 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ETORICOXIB STADA 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,ETORICOXIB,16.11,ETORICOXIB 90 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ETORICOXIB STADA 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 7 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,ETORICOXIB,5.37,ETORICOXIB 120 MG 7 COMPRIMIDOS,NO,NO,NO,NO
"BENFEROL MENSUAL 25.000 UI CAPSULAS BLANDAS , 4 capsulas",Medicamento Etica,"ANGELINI PHARMA ESPAÑA,S.L",ALTA,NORMAL,COLECALCIFEROL,15.61,COLECALCIFEROL 25.000UI (625MCG) 4 CAPSULAS,NO,NO,NO,NO
"BENFEROL CHOQUE 50.000 UI CAPSULAS BLANDAS, 2 capsulas",Medicamento Etica,"ANGELINI PHARMA ESPAÑA,S.L",ALTA,NORMAL,COLECALCIFEROL,15.61,COLECALCIFEROL 50.000UI (1250MCG) 2 CAPSULAS,NO,NO,NO,NO
"BENFEROL CHOQUE 100.000 UI CAPSULAS BLANDAS , 1 capsula",Medicamento Etica,"ANGELINI PHARMA ESPAÑA,S.L",SUSPENSION TEMPORAL GENERAL,NORMAL,COLECALCIFEROL,15.61,,NO,NO,NO,NO
"ARIPIPRAZOL ACCORD 10 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,ARIPIPRAZOL,47.89,ARIPIPRAZOL 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ARIPIPRAZOL ACCORD 15 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,ARIPIPRAZOL,71.84,ARIPIPRAZOL 15 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ARIPIPRAZOL ACCORD 30 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,ARIPIPRAZOL,143.47,ARIPIPRAZOL 30 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ARIPIPRAZOL ACCORD 5 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,ARIPIPRAZOL,23.95,ARIPIPRAZOL 5 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"PREGABALINA ACCORD 25 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,PREGABALINA,4.9,PREGABALINA 25MG 56 CAPSULAS,NO,NO,NO,NO
"PREGABALINA ACCORD 50 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,PREGABALINA,9.8,PREGABALINA 50MG 56 CAPSULAS,NO,NO,NO,NO
"PREGABALINA ACCORD 100MG CAPSULAS DURAS, 84 capsulas",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,PREGABALINA,29.41,PREGABALINA 100MG 84 CAPSULAS,NO,NO,NO,NO
"PREGABALINA ACCORD 200 MG CAPSULAS DURAS EFG,  84 capsulas",Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,PREGABALINA,58.82,PREGABALINA 200MG 84 CAPSULAS,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA VIR 20 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos (Blister Al-PVC/PVDC)",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",10.1,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
OLMESARTAN/HIDROCLOROTIAZIDA VIR 20 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos (Blister Al-PVC/PVDC),Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",10.1,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA VIR 40 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos (Blister Al-PVC/PVDC)",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",20.18,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
OLMESARTAN/HIDROCLOROTIAZIDA VIR 40 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos (Blister Al-PVC/PVDC),Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",20.18,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
VENLAFAXINA RETARD KERN PHARMA 75 MG CAPSULAS DURAS DE LIBERACION PROLONGADA EFG 30 capsulas,Medicamento Generico,"KERN PHARMA, S.L.",BAJA POR NO COMERCIALIZAR,ESPECIAL,VENLAFAXINA  HIDROCLORURO,9.59,VENLAFAXINA 75 MG 30 CAPSULAS LIBERACION MODIFICADA,NO,NO,NO,NO
VENLAFAXINA RETARD KERN PHARMA 150 MG CAPSULAS DURAS DE LIBERACION PROLONGADA EFG 30 capsulas,Medicamento Generico,"KERN PHARMA, S.L.",ALTA,ESPECIAL,VENLAFAXINA  HIDROCLORURO,19.15,VENLAFAXINA 150 MG 30 CAPSULAS LIBERACION MODIFICADA,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA KRKA 20 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",10.1,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA KRKA 20 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",10.1,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 20MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA KRKA 40 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",20.18,"OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"OLMESARTAN/HIDROCLOROTIAZIDA KRKA 40 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,NORMAL,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",20.18,OLMESARTAN MEDOXOMILO/HIDROCLOROTIAZIDA 40MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN KRKA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,ESPECIAL,OLMESARTAN MEDOXOMILO,5.04,OLMESARTAN MEDOXOMILO  10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLMESARTAN KRKA 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,ESPECIAL,OLMESARTAN MEDOXOMILO,20.17,OLMESARTAN MEDOXOMILO  40 MG 28 COMPRIMIDOS,NO,NO,NO,NO
OLMESARTAN KRKA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos,Medicamento Generico,"KRKA FARMACEUTICA, S.L.",ALTA,ESPECIAL,OLMESARTAN MEDOXOMILO,10.08,OLMESARTAN MEDOXOMILO  20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"DUTASTERIDA AUROVITAS SPAIN 0,5 mg CAPSULAS BLANDAS EFG 30 capsulas",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,NORMAL,DUTASTERIDA,20.11,"DUTASTERIDA 0,5 MG 30 CAPSULAS",NO,NO,NO,NO
"CIPROFLOXACINO ARISTO 750 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 14 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,CIPROFLOXACINO HIDROCLORURO,3.28,CIPROFLOXACINO 750 MG 14 COMPRIMIDOS,NO,NO,NO,NO
"CIPROFLOXACINO ARISTO 250 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 14 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,CIPROFLOXACINO HIDROCLORURO,1.58,CIPROFLOXACINO 250 MG 14 COMPRIMIDOS,NO,NO,NO,NO
"LORAZEPAM KERN PHARMA 5 MG COMPRIMIDOS EFG, 20 comprimidos",Medicamento Generico,"KERN PHARMA, S.L.",ALTA,NORMAL,LORAZEPAM,1.12,LORAZEPAM 5 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"BETAHISTINA BLUEFISH 8 MG COMPRIMIDOS EFG, 60 comprimidos",Medicamento Generico,"BLUEFISH PHARMA, S.L.U",ALTA,NORMAL,BETAHISTINA DIHIDROCLORURO,2.73,BETAHISTINA 8MG 60 COMPRIMIDOS,NO,NO,NO,NO
"RASAGILINA MYLAN 1 MG COMPRIMIDOS EFG, 30 comprimidos",Medicamento Generico,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,RASAGILINA TARTRATO,91.32,RASAGILINA 1 MG 30 COMPRIMIDOS,NO,NO,NO,NO
MALAWAY 250 MG/100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 24 comprimidos,Medicamento Generico,"VISO FARMACEUTICA, S.L.",ALTA,ESPECIAL,"ATOVACUONA,PROGUANIL HIDROCLORURO",39.68,,NO,NO,NO,NO
DEVOLINA 1 MG COMPRIMIDOS EFG 30 comprimidos,Medicamento Generico,"DEVON FARMACEUTICA, S.A.",ALTA,ESPECIAL,RASAGILINA,91.32,RASAGILINA 1 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"RASAGILINA ARISTO 1 MG COMPRIMIDOS EFG, 30 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",ALTA,ESPECIAL,RASAGILINA TARTRATO,91.32,RASAGILINA 1 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"GABAPENTINA AUROVITAS 600 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 90 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,ESPECIAL,GABAPENTINA,18.45,GABAPENTINA 600 MG 90 COMPRIMIDOS,NO,SI,NO,NO
"GABAPENTINA AUROVITAS 800 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 90 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,ESPECIAL,GABAPENTINA,24.6,GABAPENTINA 800 MG 90 COMPRIMIDOS,NO,SI,NO,NO
ABFENTIQ 200 MICROGRAMOS COMPRIMIDOS PARA CHUPAR EFG 3 comprimidos,Medicamento Generico,FERRER FARMA S.A.,BAJA POR NO COMERCIALIZAR,ESPECIAL,FENTANILO CITRATO,9.6,"FENTANILO 0,2 MG 3 COMPRIMIDOS BUCALES/PARA CHUPAR",NO,NO,NO,NO
ABFENTIQ 200 MICROGRAMOS COMPRIMIDOS PARA CHUPAR EFG 15 comprimidos,Medicamento Generico,FERRER FARMA S.A.,ALTA,ESPECIAL,FENTANILO CITRATO,48,"FENTANILO 0,2 MG 15 COMPRIMIDOS BUCALES/PARA CHUPAR",NO,NO,NO,NO
ABFENTIQ 200 MICROGRAMOS COMPRIMIDOS PARA CHUPAR EFG 30 comprimidos,Medicamento Generico,FERRER FARMA S.A.,ALTA,ESPECIAL,FENTANILO CITRATO,95.99,"FENTANILO 0,2 MG 30 COMPRIMIDOS BUCALES/PARA CHUPAR",NO,NO,NO,NO
