DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
IPRATROPIO,PLAMUNERESPULAS,LIQUIDO,CIPLA,NO REGULADO
IPRATROPIO,PLAMUNE,LIQUIDO,CIPLA,NO REGULADO
IPRATROPIO,ASPROMIO,LIQUIDO,CHALVER,NO REGULADO
IPRATROPIO,BROMURO DE IPRATROPIO,LIQUIDO,BIOSYNTEC,NO REGULADO
IPRATROPIO,IPRAMAR,LIQUIDO,BIOTOSCANA,NO REGULADO
IPRATROPIO,BROMURO DE IPRATROPIO,LIQUIDO,TECNOQUIMICAS,NO REGULADO
IPRATROPIO,ATROVENT,LIQUIDO,BOEHRINGER,NO REGULADO
IXEKIZUMAB,TALTZ,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
LABETALOL,LABETALOL HIDROCLORURO,LIQUIDO/SOLIDO,SERFACAR,NO REGULADO
LABETALOL,DIBLOREC,LIQUIDO/SOLIDO,MEDYSEH,NO REGULADO
LABETALOL,DUOBLOQ,LIQUIDO/SOLIDO,LIMINAL,NO REGULADO
LABETALOL,LABETALOL,LIQUIDO/SOLIDO,RYAN,NO REGULADO
LABETALOL,LABETALOL,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
LABETALOL,PRESEQUIL,LIQUIDO/SOLIDO,BLASKOV,NO REGULADO
LAMIVUDINA,AVONZA,SOLIDO,MYLAN,NO REGULADO
LAMIVUDINA,TRIODAY,SOLIDO,CIPLA,NO REGULADO
LAMIVUDINA,LATEFA,SOLIDO,HETERO,NO REGULADO
LINAGLIPTINA,TRAYENTA,SOLIDO,BOEHRINGER,NO REGULADO
MEDROXIPROGESTERONA,MEDROXIPROGESTERONA,SOLIDO,AMERICAN GENERICS,NO REGULADO
MEDROXIPROGESTERONA,CYCLOFEM,LIQUIDO/SOLIDO,PROFAMILIA,NO REGULADO
MERCAPTAMINA,CYSTAGON,SOLIDO,RECORDATI RARE,NO REGULADO
MERCAPTAMINA,CYSTAGON,SOLIDO,RECORDATI RARE DISEASES,NO REGULADO
METFORMINA,XIGDUOXR,SOLIDO,ASTRAZENECA,NO REGULADO
METFORMINA,XIGDUO XR,SOLIDO,ASTRAZENECA,NO REGULADO
METFORMINA,JARDIANCE DUO,SOLIDO,BOEHRINGER,NO REGULADO
METFORMINA,VYLDA,SOLIDO,LAFRANCOL,NO REGULADO
METFORMINA,JALRA M,SOLIDO,MERCK,NO REGULADO
METFORMINA,JALRA,SOLIDO,MERCK,NO REGULADO
METFORMINA,JALRAM,SOLIDO,MERCK,NO REGULADO
NEPAFENACO,NEOLAG,LIQUIDO,SYNTHESIS,NO REGULADO
NEPAFENACO,NEPAOFTAL,LIQUIDO,TECNOQUIMICAS,NO REGULADO
NEPAFENACO,ILEVRO,LIQUIDO,NOVARTIS,NO REGULADO
NIMOTUZUMAB,CIMAHER,LIQUIDO/SOLIDO,CIMAB,NO REGULADO
NINTEDANIB,VARGATEF,SOLIDO,BOEHRINGER,NO REGULADO
NORETISTERONA,AI PROFAMILIA,LIQUIDO/SOLIDO,PROFAMILIA,NO REGULADO
NORETISTERONA,OVUNIL,LIQUIDO/SOLIDO,PRODUCTOS CIENTIFICOS,NO REGULADO
NORETISTERONA,NORESTIN,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
NORETISTERONA,NORETISTERONA,LIQUIDO/SOLIDO,BCN MEDICAL,NO REGULADO
NORETISTERONA,NORIGYNON,LIQUIDO/SOLIDO,BAYER,NO REGULADO
NORETISTERONA,PRIMOSISTON,SOLIDO,BAYER,NO REGULADO
NORETISTERONA,TYNDAL,SOLIDO,LAFRANCOL,NO REGULADO
NORGESTREL,PROGYLUTON,SOLIDO,BAYER,NO REGULADO
OSIMERTINIB,TAGRISSO,SOLIDO,ASTRAZENECA,NO REGULADO
PALIPERIDONA,INVEGA SUSTENNA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
PASIREOTIDA,SIGNIFOR,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
POMALIDOMIDA,IPOPRIN,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
POMALIDOMIDA,POMALYST,SOLIDO,CELGENE EUROPE,NO REGULADO
POMALIDOMIDA,POMALYST,SOLIDO,CELGENE,NO REGULADO
PRALATREXATO,DIFOLTA,LIQUIDO/SOLIDO,MUNDIPHARMA,NO REGULADO
PROGESTERONA,CRINONE,SEMISOLIDO,MERCK,NO REGULADO
PROGESTERONA,CYCLOGEST,SEMISOLIDO,LAFRANCOL,NO REGULADO
ALGESTONA,SYNOVULAR SUAVE,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
ALGESTONA,FEMVULEN,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
ALGESTONA,SYNOVULAR,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
PROMESTRIENO,ANTROFI,SEMISOLIDO,EUROFARMA,NO REGULADO
ROFLUMILAST,DAXAS,SOLIDO,ASTRAZENECA,NO REGULADO
SALBUTAMOL,SALBUTAMOL,LIQUIDO,ANGLOPHARMA,NO REGULADO
SALBUTAMOL,SALBUTAMOL,LIQUIDO,ECAR,NO REGULADO
SALBUTAMOL,BETADREN,LIQUIDO,COMERFAR,NO REGULADO
SALBUTAMOL,SALBUTAMOL,LIQUIDO,LAPROFF,NO REGULADO
SALBUTAMOL,SALBUTAMOL,LIQUIDO,MEMPHIS,NO REGULADO
SILODOSINA,FENANTA,SOLIDO,MSN,NO REGULADO
SILODOSINA,SILOTRIF,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
SIMVASTATIN,EZETIMIBA,SOLIDO,SANOFI,NO REGULADO
SIMVASTATIN,EZIT-ST,SOLIDO,HETERO,NO REGULADO
SIMVASTATIN,EZETIMIBE + SIMBASTATINA,SOLIDO,LA SANTE,NO REGULADO
SIMVASTATIN,EZETIMIBA + SIMVASTATINA,SOLIDO,LA SANTE,NO REGULADO
SIMVASTATIN,EZETIMIBA + SIMVASTATINA,SOLIDO,COLMED,NO REGULADO
SIMVASTATIN,EZETIMIBE SIMBASTATINA,SOLIDO,COLMED,NO REGULADO
SIMVASTATIN,DUOLIP,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
SIMVASTATIN,TIAZOMET S,SOLIDO,METLEN PHARMA,NO REGULADO
SIMVASTATIN,EZETIMIBA/SIMVASTATINA,SOLIDO,AMERICAN GENERICS,NO REGULADO
SIMVASTATIN,ZINTREPID,SOLIDO,MERCK SHARP DOME,NO REGULADO
SOLIFENACINA,TRABIS,SOLIDO,XINETIX,NO REGULADO
TALIGLUCERASA,UPLYSO200,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
TENOFOVIR,TENOFOVIR,SOLIDO,VEROS HEALTH,NO REGULADO
TENOFOVIR,TENOVUDIN,SOLIDO,RICHMOND,NO REGULADO
TENOFOVIR,TEXAVIR,SOLIDO,CIPLA,NO REGULADO
TENOFOVIR,TENARTA,SOLIDO,MYLAN,NO REGULADO
TENOFOVIR,TENOFOVIR,SOLIDO,SALUSPHARMA,NO REGULADO
TENOFOVIR,ADVANOVIR,SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
TENOFOVIR,TENDIFU,SOLIDO,HETERO,NO REGULADO
TENOFOVIR,TENOFOVIR DISOPROXIL FUMARATO,SOLIDO,HUMAX,NO REGULADO
TENOFOVIR,VIREAD,SOLIDO,GILEAD,NO REGULADO
TIBOLONA,FLART,SOLIDO,PROCAPS,NO REGULADO
TIOTROPIO,TROPU,LIQUIDO,HETERO,NO REGULADO
TIOTROPIO,TIOZIDE,LIQUIDO,CIPLA,NO REGULADO
TIOTROPIO,HELIBRON,LIQUIDO,CHALVER,NO REGULADO
TRAMETINIB,MEKINIST,SOLIDO,NOVARTIS,NO REGULADO
VALSARTAN,NEPARVIS,SOLIDO,NOVARTIS,NO REGULADO
VELAGLUCERASA,VPRIV,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
VILDAGLIPTINA,W LIPTINA,SOLIDO,WILLOW PHARMA,NO REGULADO
VILDAGLIPTINA,VILDAGLIPTINA,SOLIDO,NOVARTIS,NO REGULADO
VILDAGLIPTINA,JALRA,SOLIDO,MERCK,NO REGULADO
VILDAGLIPTINA,GALVUS,SOLIDO,NOVARTIS,NO REGULADO
APALUTAMIDA,ERLEADA,SOLIDO,JANSSEN,NO REGULADO
COBIMETINIB,COTELLIC,SOLIDO,ROCHE,NO REGULADO
EMICIZUMAB,HEMLIBRA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
MIDOSTAURINA,RYDAPT,SOLIDO,NOVARTIS,NO REGULADO
RAMUCIRUMAB,CYRAMZA,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
CARGLUTAMICO,VIZMATO,SOLIDO,ALATIN RESOURCES,NO REGULADO
CARGLUTAMICO,CARBAGLU,SOLIDO,RECORDATI RARE,NO REGULADO
BELATACEPT,NULOJIX,LIQUIDO/SOLIDO,BRISTOL,NO REGULADO
BILASTINA,BILAXTEN,SOLIDO,FAES,NO REGULADO
DARUNAVIR,FURTHASR,SOLIDO,THE LABS,NO REGULADO
DACLATASVIR,DAKLINZA,SOLIDO,BRISTOL,NO REGULADO
DACLATASVIR,DAKLINZA,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ELBASVIR,ZEPATIER,SOLIDO,MERCK,NO REGULADO
SOFOSBUVIR,HARVONI,SOLIDO,GILEAD,NO REGULADO
TIOCTICO,A LIPOR,SOLIDO,NUTRA BIOTICS,NO REGULADO
TIOCTICO,TIOTOFEN,SOLIDO,LAFRANCOL,NO REGULADO
TIOCTICO,THIOGAMMA,SOLIDO,WORWAG,NO REGULADO
TIOCTICO,PSICOFOS,SOLIDO,BAWISS,NO REGULADO
TIOCTICO,LIPOTIC,SOLIDO,PROCAPS,NO REGULADO
TIOCTICO,NUTRABIOTICS,SOLIDO,NUTRA BIOTICS,NO REGULADO
TIOCTICO,THIOCTACID,SOLIDO,MERCK,NO REGULADO
BRIMONIDINA,BRIDINE,LIQUIDO,SYNTHESIS,NO REGULADO
BENRALIZUMAB,FASENRA,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
DUPILUMAB,DUPIXENT,LIQUIDO/SOLIDO,SANOFI,NO REGULADO
ISAVUCONAZOL,CRESEMBA,SOLIDO,BIOTOSCANA,NO REGULADO
ISAVUCONAZOL,CRESEMBA,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
MEPOLIZUMAB,NUCALA,LIQUIDO/SOLIDO,GSK,NO REGULADO
ELIGLUSTAT,CERDELGA,SOLIDO,GENZYME,NO REGULADO
DURVALUMAB,IMFINZI,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
GUSELKUMAB,TREMFYA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
ECALANTIDA,KALBITOR,LIQUIDO/SOLIDO,PINT,NO REGULADO
HIDROSMIN,VENOSMIL,SOLIDO,FAES,NO REGULADO
DIOSMIN,FLEBODIA,SOLIDO,INNOTHERA,NO REGULADO
OCRELIZUMAB,OCREVUS,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
AMISULPRIDA,DENIBAN,SOLIDO,SANOFI,NO REGULADO
AMISULPRIDA,SOCIAN,SOLIDO,SANOFI,NO REGULADO
COLICO,CHOLBAM,SOLIDO,UNO HEALTHCARE,NO REGULADO
COLICO,ORPHACOL,SOLIDO,CTRS,NO REGULADO
HIALURONICO,HYALGAN,LIQUIDO/SOLIDO,FIDIA,NO REGULADO
HIALURONICO,EUFLEXXA,LIQUIDO/SOLIDO,BIO TECHNOLOGY,NO REGULADO
HIALURONICO,SUPLASYN,LIQUIDO/SOLIDO,MYLAN,NO REGULADO
HIALURONICO,BIOVISC,LIQUIDO/SOLIDO,SOPHIA,NO REGULADO
HIALURONICO,DROPYAL,LIQUIDO/SOLIDO,MEIJI SEIKA,NO REGULADO
HIALURONICO,LUPROLYK,LIQUIDO,SYNTHESIS,NO REGULADO
ADENOSINA,ADENOCOR,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
ADENOSINA,ADENOTROY,LIQUIDO/SOLIDO,TROIKAA,NO REGULADO
ADENOSINA,ADENOSINA,LIQUIDO/SOLIDO,SETAA,NO REGULADO
ADENOSINA,TACHYPRESS,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
ADENOSINA,ADENOSINA,LIQUIDO/SOLIDO,KNOVEL PHARMA,NO REGULADO
ADENOSINA,ADENOSINA,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
AGOMELATINA,NOMODEP,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ALFA,ZEMAIRA,LIQUIDO/SOLIDO,CSL,NO REGULADO
ALFA,VENTIA,LIQUIDO/SOLIDO,UNO HEALTHCARE,NO REGULADO
ALFA,PROLASTIN C,LIQUIDO/SOLIDO,GRIFOLS THERAPEUTICS,NO REGULADO
AMINOS,PREVLOG,SOLIDO,RPG LIFE SCIENCES,NO REGULADO
ANTIGENOS,PNEUMOVAX,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
APREPITANT,APRITANT,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
APREPITANT,LEMID,SOLIDO,LAFRANCOL,NO REGULADO
ATOSIBAN,EVERPREM,LIQUIDO/SOLIDO,EVER PHARMA,NO REGULADO
BACLOFENO,BALYRIA,SOLIDO,VANTAGE GLOBAL,NO REGULADO
BACLOFENO,DISTENTIA,SOLIDO,THE LABS,NO REGULADO
BRIVARACETAM,BRIVAXON,SOLIDO,MONTE VERDE,NO REGULADO
CARMUSTINA,CARMUSTINA,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
CARMUSTINA,CARMUSTINA,LIQUIDO/SOLIDO,BLAU,NO REGULADO
CARMUSTINA,BICNU,LIQUIDO/SOLIDO,EMCURE,NO REGULADO
CEFTAZIDIMA,ZAVICEFTA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DARUNAVIR,PREZCOBIX,SOLIDO,JANSSEN,NO REGULADO
DENOSUMAB,XGEVA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
DENOSUMAB,PROLIA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
DEXAMETASONA,OZURDEX,SOLIDO,ALLERGAN,NO REGULADO
DIAZOXIDO,UPGLYCEM,LIQUIDO,LIMINAL,NO REGULADO
DIOSMINA,VENADOL,SOLIDO,LAFRANCOL,NO REGULADO
DIOSMINA,VEDIPAL,SOLIDO,MONTE VERDE,NO REGULADO
DIOSMINA,NEO VEINS,SOLIDO,HEALTHY AMERICA,NO REGULADO
DIOSMINA,FEMAVEN,SOLIDO,KERN PHARMA,NO REGULADO
DIOSMINA,VENOMAX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DIOSMINA,DIOSMINA/HESPERIDINA,SOLIDO,SANOFI AVENTIS,NO REGULADO
EMTRICITABINA,ODEFSEY,SOLIDO,GILEAD,NO REGULADO
EMTRICITABINA,TRIFOVINA,SOLIDO,VANTAGE GLOBAL,NO REGULADO
EMTRICITABINA,VOYTEL,SOLIDO,THE LABS,NO REGULADO
EMTRICITABINA,ETEVIHR,SOLIDO,SALUSPHARMA,NO REGULADO
EMTRICITABINA,ETRAVIR,SOLIDO,HUMAX,NO REGULADO
EMTRICITABINA,TRIVENZ,SOLIDO,RICHMOND,NO REGULADO
EMTRICITABINA,REVIR,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
EMTRICITABINA,TENOMUNE,SOLIDO,CIPLA,NO REGULADO
EMTRICITABINA,ATROIZA,SOLIDO,MYLAN,NO REGULADO
EMTRICITABINA,EFAVIRENZ/EMTRICITABINA/TENOFOVIR,SOLIDO,AUROBINDO,NO REGULADO
EMTRICITABINA,TRUSTIVA,SOLIDO,HETERO,NO REGULADO
EMTRICITABINA,ATRIPLA,SOLIDO,GILEAD,NO REGULADO
ENOXAPARINA,CRUSIA,LIQUIDO/SOLIDO,ROVI PHARMA,NO REGULADO
ENOXAPARINA,ENOXAPARINA,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
ENOXAPARINA,ENOXALOW,LIQUIDO/SOLIDO,BLAU,NO REGULADO
ENOXAPARINA,ENOXPAR,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
ETIL,LIPIODOL,LIQUIDO/SOLIDO,GUERBET,NO REGULADO
FLUMAZENIL,LANEXAT,LIQUIDO/SOLIDO,CHEPLAPHARM,NO REGULADO
FLUMAZENIL,DIAZENIL,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
FOLITROPIN,BEMFOLA,LIQUIDO/SOLIDO,GEDEON RICHTER,NO REGULADO
FOLITROPIN,FENOGEST,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
FOSAMPRENAVIR,TELZIR,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
FOSFOLIPIDOS,BLES X,LIQUIDO/SOLIDO,BLES BIOCHEMICALS,NO REGULADO
FOSFOLIPIDOS,BLESURF,LIQUIDO/SOLIDO,BLES BIOCHEMICALS,NO REGULADO
FOSFOLIPIDOS,INFASURF,LIQUIDO/SOLIDO,ONY,NO REGULADO
FOSFOMICINA,UROFOS,SOLIDO,NOVAMED,NO REGULADO
FOSFOMICINA,URIGOX,SOLIDO,LAFRANCOL,NO REGULADO
FOSFOMICINA,LESGENA,SOLIDO,CLOSTER PHARMA,NO REGULADO
FOSFOMICINA,ACECNOU,SOLIDO,FAES FARMA,NO REGULADO
FOSFOMICINA,FOSTRAMAR,SOLIDO,GLOBAL MARKETING FARMACEUTICA,NO REGULADO
FOSFOMICINA,FOSTREN,SOLIDO,NEVOX,NO REGULADO
GLUCOSAMINA,REGERCUT,SOLIDO,STOCK,NO REGULADO
GLUCOSAMINA,MOBIOL,SOLIDO,HEALTHY AMERICA,NO REGULADO
GLUCOSAMINA,NUTRA JOINT COMFORT,SOLIDO,MARIA VICTORIA ZAPATA CADAVID,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,NATURAL SYSTEMS,NO REGULADO
GLUCOSAMINA,WELLFLEX,SOLIDO,HEALTHY AMERICA,NO REGULADO
GLUCOSAMINA,MOVIART,SOLIDO,BIOCHEM,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,GOOD`N NATURAL MANUFACTURING,NO REGULADO
GLUCOSAMINA,GLUCONITRIN,SOLIDO,BIOQUIFAR,NO REGULADO
GLUCOSAMINA,FLEXOBIL,SOLIDO,QUIMICA PATRIC,NO REGULADO
GLUCOSAMINA,FLEXTRIL C MSM,SOLIDO,NOVAMED,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,LA SANTE,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,GENFAR,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,COLMED,NO REGULADO
GLUCOSAMINA,FLEXURE,SOLIDO,PROCAPS,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,INFABO,NO REGULADO
GLUCOSAMINA,GLUCOSAMINA/CONDROITINA,SOLIDO,AMERICAN GENERICS,NO REGULADO
GLUCOSAMINA,FLEXTRIL C,SOLIDO,NOVAMED,NO REGULADO
GLUCOSAMINA,DALIMIN,SOLIDO,SYNTHESIS,NO REGULADO
GLUCOSAMINA,ROTAFLEX,SOLIDO,SIEGFRIED,NO REGULADO
GLUCOSAMINA,CURAFLEX DUO,SOLIDO,MONTE VERDE,NO REGULADO
GONADOTROPINA,FENOGEST,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
GONADOTROPINA,MENOPUR,LIQUIDO/SOLIDO,FERRING,NO REGULADO
GONADOTROPINA,MERIONAL,LIQUIDO/SOLIDO,IBSA INSTITUTO BIOCHEMIQUE,NO REGULADO
IBUPROFENO,BOLTALKEY,LIQUIDO/SOLIDO,LIMINAL,NO REGULADO
IBUPROFENO,PEDEA,LIQUIDO/SOLIDO,RECORDATI RARE DISEASES,NO REGULADO
IBUPROFENO,ILIDAP,LIQUIDO/SOLIDO,LASMA,NO REGULADO
INSULINA,XULTOPHY,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
IRBESARTAN,IIRBESARTAN/AMLODIPINO,SOLIDO,MK,NO REGULADO
IRBESARTAN,IRBESARTAN/AMLODIPINO,SOLIDO,MK,NO REGULADO
IRBESARTAN,IRBEPREX A,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTAN,ALENCAL IRBE,SOLIDO,CLOSTER PHARMA,NO REGULADO
IRBESARTAN,APROVASC,SOLIDO,SANOFI AVENTIS,NO REGULADO
IRBESARTAN,IRBIGEN-H,SOLIDO,HETERO,NO REGULADO
IRBESARTAN,IRBEVITAE PLUS,SOLIDO,GALENICUM HEALTH,NO REGULADO
IRBESARTAN,GIRENOXIN PLUS,SOLIDO,ALTADIS,NO REGULADO
IRBESARTAN,IRBETIAZID,SOLIDO,SIEGFRIED,NO REGULADO
IXAZOMIB,NINLARO,SOLIDO,BAXALTA,NO REGULADO
LAMIVUDINA,TOLAMID,SOLIDO,CIPLA,NO REGULADO
LAMIVUDINA,ABALAM,SOLIDO,HETERO,NO REGULADO
LAMIVUDINA,ABACAVIR/LAMIVUDINA,SOLIDO,SALUSPHARMA,NO REGULADO
LAMIVUDINA,ALBAVIR,SOLIDO,MYLAN,NO REGULADO
LAMIVUDINA,LAMCAVIR,SOLIDO,HUMAX,NO REGULADO
LAMIVUDINA,ABACAVIR/LAMIVUDINA,SOLIDO,AUROBINDO,NO REGULADO
LAMIVUDINA,KIVEXA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LAMIVUDINA,TRIUMEQ,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LEVODOPA,LEVOCAPONE,SOLIDO,HUMAX,NO REGULADO
LISDEXANFETAMINA,VYVANSE,SOLIDO,BAXALTA,NO REGULADO
LISDEXANFETAMINA,SAMEXID,SOLIDO,LAFRANCOL,NO REGULADO
LOSARTAN,ARAMAX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
LOSARTAN,CERXAIN,SOLIDO,ANZG,NO REGULADO
LOSARTAN,COZAAR XQ,SOLIDO,MERCK SHARP DOME,NO REGULADO
LOSARTAN,ARANDA,SOLIDO,FARMA,NO REGULADO
MARAVIROC,CELSENTRI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
MELFALAN,ALKERAN,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
MELFALAN,MYELKILAN,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
MELFALAN,AUROMELFALAN,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
MELFALAN,MELFALAN,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
MELFALAN,NOZOMI,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
MERCAPTOPURINA,KAPTO,SOLIDO,AL PHARMA,NO REGULADO
METILERGOMETRINA,METHERGIN,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
MIGALASTAT,GALAFOLD,SOLIDO,PINT PHARMA,NO REGULADO
MITOMICINA,MIXANDEX,LIQUIDO/SOLIDO,PISA,NO REGULADO
MITOMICINA,ALPHAMYCINA,LIQUIDO/SOLIDO,TUTEUR,NO REGULADO
MITOXANTRONA,MITOXANTRONA,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
MITOXANTRONA,MITOXANTRONA,LIQUIDO/SOLIDO,BLAU,NO REGULADO
MITOXANTRONA,MITOXANTRONA,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
NATAMICINA,NATACYN,LIQUIDO,NOVARTIS,NO REGULADO
NEVIRAPINA,NEVIPARINA,LIQUIDO,AUROBINDO,NO REGULADO
NEVIRAPINA,NEVIRAPINA,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
NEVIRAPINA,NEVIVIR,SOLIDO,HETERO,NO REGULADO
NEVIRAPINA,VIRAVIR,SOLIDO,HUMAX,NO REGULADO
NEVIRAPINA,NEVIRAPINA,SOLIDO,AUROBINDO,NO REGULADO
NEVIRAPINA,NEVIRAPINA,SOLIDO,PERCOS,NO REGULADO
NEVIRAPINA,NIVERIN,SOLIDO,GRUFARMA,NO REGULADO
NEVIRAPINA,CIPLANEVIMUNE,SOLIDO,CIPLA,NO REGULADO
OLANZAPINA,ZYPREXA,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
OLANZAPINA,OLANZAPINA,SOLIDO,HETERO,NO REGULADO
OLANZAPINA,PROLANZ,SOLIDO,EUROFARMA,NO REGULADO
OLANZAPINA,OLANZAPINA,SOLIDO,BRAINPHARMA,NO REGULADO
OLANZAPINA,OLANZAVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
OLANZAPINA,ZAP,SOLIDO,EUROFARMA,NO REGULADO
OLANZAPINA,OLANZAPINA,SOLIDO,AMERICAN GENERICS,NO REGULADO
OLANZAPINA,OLAPINA,SOLIDO,PINT PHARMA,NO REGULADO
OLANZAPINA,MEFLAX,SOLIDO,SIEGFRIED,NO REGULADO
OLANZAPINA,PROLANZ FAST,SOLIDO,EUROFARMA,NO REGULADO
OLANZAPINA,PROLANZ,SOLIDO,PROCAPS,NO REGULADO
OLANZAPINA,OLAZAP,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
OLANZAPINA,FRENIAL,SOLIDO,BLUEPHARMA,NO REGULADO
OLANZAPINA,ZELTA,SOLIDO,BUSSIE,NO REGULADO
L-ORNITINA-L-ASPARTATO,HEPA-MERZ,SOLIDO,MERZ PHARMACEUTICALS,NO REGULADO
PALONOSETRON,PALONOSETRON,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
PALONOSETRON,PALOHALT,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
PALONOSETRON,PALOCIP,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
PALONOSETRON,ONICIT,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
PEGINTERFERON,PLEGRIDY,LIQUIDO/SOLIDO X 1,BIOGEN,NO REGULADO
PEGINTERFERON,PLEGRIDY,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
PERINDOPRIL,COVERATRIX,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
ROSUVASTATINA,EZETIMIBE/ROSUVASTATINA,SOLIDO,MK,NO REGULADO
ROSUVASTATINA,ROSUVAX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ROSUVASTATINA,CARDIOMAX PLUS,SOLIDO,LAFRANCOL,NO REGULADO
SEVOFLURANO,SEVORANE,LIQUIDO,ABBOTT  / ABBVIE,NO REGULADO
SEVOFLURANO,SOJOURN,LIQUIDO,PIRAMAL CRITICAL CARE,NO REGULADO
SEVOFLURANO,SEVOFLURANO,LIQUIDO,BAXTER,NO REGULADO
TALIDOMIDA,INMUNOPRIN,SOLIDO,MONTE VERDE,NO REGULADO
TELMISARTAN,CARDIXIL PLUS,SOLIDO,PROCAPS,NO REGULADO
TELMISARTAN,TELMISARTAN/AMLODIPINO,SOLIDO,MK,NO REGULADO
TELMISARTAN,TELMA H,SOLIDO,GLENMARK,NO REGULADO
TELMISARTAN,CARDIXIL HCT,SOLIDO,PROCAPS,NO REGULADO
